# Iterations: 71 of 100
# Total Energy: -6.701e+05
#    Kinetic Energy: 6.747e+05
#    Potential Energy: -1.345e+06
# Current Time: 2018-05-08 04:13:52.677837
# Elapsed Time: 0:09:06.485590
# 
# Med. Times for Sections
#    Force Computation:		3.143049
#        [3.2122283.2324503.1932743.1763463.1574023.1286973.1165123.1094693.1159313.121934]
#    Gather Particles:		2.647330
#        [1.8322481.6869163.1101093.0031862.6373762.4075672.7577693.6975762.6572841.750327]
#    Overall:		7.522232
#        [6.7500986.6265638.0803577.8911027.5084307.2572887.6440038.4893807.5360336.580738]
#    Scatter Particles:		0.001898
#        [0.0018900.0019090.0019680.0018670.0020110.0019010.0018950.0018530.0019020.001829]
#    Time Integration:		0.001773
#        [0.0018210.0018130.0017720.0017730.0017740.0018210.0017640.0017670.0017800.001773]
#    Tree Broadcast:		0.765127
#        [0.7525770.7681580.8233450.7518780.7507750.7699070.8182430.7340940.8133540.762096]
#    Tree Construction:		0.947570
#        [0.9492960.9352780.9498520.9560140.9590510.9473590.9477810.9445840.9457400.942736]
# 
# x	y	z	vx	vy	vz
# 
 -6.2962	 -4.1294	 -2.7935	 +1.3059	 +0.8138	 -0.2662
 +3.0872	-19.1924	-11.3874	 +1.1281	 +2.0572	 +1.7654
 -1.8947	 -4.9130	 +8.0844	 -1.6716	 -2.5776	 +2.1557
-24.0304	+25.4842	 -0.7848	 -2.2164	 -0.8553	 +1.1982
 -4.6863	-18.5726	 -6.2429	 +1.7885	 -1.3965	 +0.3060
 -3.2034	 +0.8045	-16.5796	 +2.7226	 +0.6643	 -0.5552
+13.8610	-15.3157	 -8.6944	 -1.3321	 -0.9051	 -0.9566
+11.2525	 +7.7580	 -6.1944	 -1.5520	 +0.1514	 -0.2050
-26.5304	-35.0786	-11.2481	 +1.9457	 +1.7187	 -0.0981
-13.8508	+22.1564	 +2.0112	 -3.1718	 -0.3085	 +0.5504
-23.6523	+11.0454	+17.3958	 +2.2113	 +0.9544	 -0.3632
 -4.7560	 -3.5524	 -0.1330	 -1.5958	 +2.3996	 -1.4228
 +3.4118	 -0.8997	 -6.0793	 -2.6946	 +3.1469	 -4.3477
+25.5750	+12.2302	-27.2424	 -1.2900	 +0.9685	 -1.1217
 -0.9901	 -4.5340	 -1.9891	 +3.2057	 -1.4492	 -1.3712
+13.1430	 +2.8703	 -1.3612	 +1.8780	 -1.7735	 -1.8701
 -8.7107	 -2.8725	 -7.3307	 -0.9280	 -4.2360	 +2.8600
 -5.2774	 -0.1925	-18.7793	 -1.5297	 +0.6891	 -1.5479
 +9.7430	 -7.5268	 +7.3395	 +0.0440	 -1.2183	 -0.8021
+104.9258	-28.7202	+78.5468	 -1.3682	 -0.8376	 +0.2018
 -6.1601	 -4.4672	 -4.4239	 +3.0444	 +2.2364	 -3.0238
 -3.6958	 -0.6511	 -7.9305	 +0.9037	 -4.4708	 +0.6111
 +5.2300	 +1.3943	 -9.4065	 -1.4749	 +2.5636	 +2.1223
 -4.1169	 -4.9900	 +2.7039	 -2.5401	 +0.7310	 +4.3249
 +7.4533	 +7.5683	 -8.6625	 +1.1545	 +0.6898	 -0.1224
-35.3397	+20.5659	 +0.0145	 -2.0996	 +2.3247	 -1.3061
 -3.5886	 -1.6156	 -4.0570	 -1.5759	 -5.2362	 -2.6219
 +9.0263	 -7.5045	 +3.9690	 -4.2024	 -0.1161	 +2.1215
+10.4868	+12.6629	 +6.3606	 +2.8626	 -2.3581	 -2.3193
-17.6628	-18.5361	 -4.7128	 +3.4251	 +2.1789	 +0.5858
 -4.1228	 -4.5615	 -4.6046	 +5.1943	 -2.8705	 -4.2151
-56.4101	 +8.5372	 -0.1088	 -0.8464	 +2.0028	 +1.8288
 -2.1326	 -5.8370	-12.7200	 -4.3496	 -0.2429	 +2.2917
 -0.5903	-14.6417	 +4.9149	 -0.8756	 +2.1265	 -1.3713
 -9.9731	 -3.2655	+22.1474	 +0.3096	 -0.6229	 +0.9324
