# Iterations: 100 of 100
# Total Energy: -6.700e+05
#    Kinetic Energy: 6.759e+05
#    Potential Energy: -1.346e+06
# Current Time: 2018-05-08 14:06:50.934992
# Elapsed Time: 0:10:10.813558
# 
# Med. Times for Sections
#    Force Computation:		3.994824
#        [3.994824, 3.983191, 3.968268, 3.973178, 3.973944, 4.010851, 4.104619, 4.131018, 4.127554, ]
#    Gather Particles:		0.000285
#        [0.000307, 0.000334, 0.000274, 0.000310, 0.000274, 0.000282, 0.000246, 0.000285, 0.000296, ]
#    Overall:		5.790492
#        [5.699944, 5.661887, 5.708293, 5.705267, 5.838335, 5.878192, 5.840008, 5.790492, 5.837742, ]
#    Scatter Particles:		0.002000
#        [0.002194, 0.001856, 0.001812, 0.002151, 0.002026, 0.002141, 0.001816, 0.002000, 0.001885, ]
#    Time Integration:		0.002615
#        [0.002636, 0.002635, 0.002601, 0.002594, 0.002615, 0.002747, 0.002601, 0.002638, 0.002540, ]
#    Tree Broadcast:		0.742687
#        [0.742687, 0.719110, 0.757262, 0.781934, 0.806990, 0.810238, 0.720104, 0.733707, 0.735587, ]
#    Tree Construction:		0.969828
#        [0.957248, 0.954701, 0.978016, 0.945045, 1.052425, 1.051871, 1.010575, 0.920800, 0.969828, ]
# 
# x	y	z	vx	vy	vz
# 
 -5.8423	 -3.8443	 -2.8680	 +1.8079	 +1.1391	 -0.2354
 +3.4080	-18.5707	-10.8619	 +1.0850	 +2.2263	 +1.8565
 -2.3772	 -5.6332	 +8.6539	 -1.6582	 -2.4018	 +1.7879
-24.6623	+25.2252	 -0.4362	 -2.1442	 -0.9284	 +1.2057
 -4.1578	-18.9401	 -6.1425	 +1.8486	 -1.1525	 +0.3795
 -2.4138	 +0.9960	-16.6900	 +2.7200	 +0.6558	 -0.2159
+13.4576	-15.5603	 -8.9614	 -1.4459	 -0.7852	 -0.8869
+10.7650	 +7.7805	 -6.2352	 -1.8012	 +0.0112	 -0.0745
-25.9611	-34.5729	-11.2745	 +1.9798	 +1.7672	 -0.0844
-14.7588	+22.0448	 +2.1663	 -3.0926	 -0.4541	 +0.5217
-22.9991	+11.3160	+17.2799	 +2.2907	 +0.9133	 -0.4341
 -5.1594	 -2.8155	 -0.5575	 -1.1864	 +2.6878	 -1.5276
 +2.5536	 +0.0084	 -7.2748	 -3.1869	 +3.1022	 -3.8940
+25.1927	+12.5081	-27.5600	 -1.3445	 +0.9483	 -1.0703
 -0.0834	 -4.8429	 -2.3523	 +3.0494	 -0.7885	 -1.1641
+13.6371	 +2.3491	 -1.9017	 +1.5412	 -1.8158	 -1.8564
 -8.9308	 -4.0730	 -6.4641	 -0.5933	 -4.0506	 +3.0987
 -5.7123	 +0.0112	-19.1879	 -1.4702	 +0.7138	 -1.2810
 +9.7183	 -7.8641	 +7.0774	 -0.2066	 -1.1067	 -0.9932
+104.5282	-28.9629	+78.6047	 -1.3737	 -0.8362	 +0.1977
 -5.2115	 -3.7722	 -5.2483	 +3.4829	 +2.5614	 -2.6489
 -3.4039	 -1.9421	 -7.6848	 +1.0835	 -4.4260	 +1.0872
 +4.7507	 +2.1337	 -8.7404	 -1.8199	 +2.5419	 +2.4779
 -4.8368	 -4.7222	 +3.8933	 -2.4115	 +1.0809	 +3.9082
 +7.7532	 +7.7378	 -8.6726	 +0.9230	 +0.4877	 +0.0473
-35.9394	+21.2343	 -0.3644	 -2.0391	 +2.2861	 -1.3067
 -4.0313	 -3.0869	 -4.7887	 -1.4923	 -4.7632	 -2.3257
 +7.7683	 -7.5075	 +4.5617	 -4.4629	 +0.0893	 +1.9705
+11.2795	+11.9265	 +5.6814	 +2.5474	 -2.7062	 -2.3255
-16.6494	-17.8857	 -4.5394	 +3.5612	 +2.3036	 +0.6080
 -2.5764	 -5.3202	 -5.7534	 +5.3989	 -2.3775	 -3.7109
-56.6492	 +9.1170	 +0.4215	 -0.8045	 +1.9965	 +1.8280
