# Iterations: 21 of 100
# Total Energy: -6.701e+05
#    Kinetic Energy: 6.714e+05
#    Potential Energy: -1.341e+06
# Current Time: 2018-05-07 21:56:15.525652
# Elapsed Time: 0:02:14.914162
# 
# Med. Times for Sections
#    Force Computation:		3.587937
#        [3.5595883.5930953.5879703.5912083.5879043.5893723.5834573.5982403.5786793.581976]
#    Gather Particles:		0.504359
#        [0.5508580.5005310.5029380.5071110.5420100.4956320.4925840.4808790.5141050.505780]
#    Overall:		6.005533
#        [5.9933226.0051426.0158136.0259686.0310075.9836695.9633355.9977606.0059256.020445]
#    Scatter Particles:		0.001970
#        [0.0018730.0019280.0035460.0019140.0034950.0019490.0012550.0025270.0035830.001991]
#    Time Integration:		0.002311
#        [0.0023200.0022890.0023360.0023720.0022750.0022980.0022850.0023020.0023340.002325]
#    Tree Broadcast:		0.867844
#        [0.8557200.8705580.8777740.8635790.8641750.8664580.8528160.8756670.8692290.883478]
#    Tree Construction:		1.037307
#        [1.0229061.0366841.0411911.0597281.0310851.0279021.0308801.0380901.0379311.044837]
# 
# x	y	z	vx	vy	vz
# 
 -6.7327	 -4.4140	 -2.6607	 +0.4210	 +0.3317	 -0.3029
 +2.5073	-20.1541	-12.2337	 +1.1905	 +1.7887	 +1.6190
 -1.0463	 -3.5380	 +6.8369	 -1.7473	 -2.9363	 +2.8750
-22.8927	+25.8801	 -1.3798	 -2.3351	 -0.7247	 +1.1810
 -5.5154	-17.7027	 -6.3518	 +1.4551	 -2.5979	 +0.3144
 -4.5588	 +0.4710	-16.1630	 +2.6867	 +0.6679	 -1.1168
+14.4774	-14.8139	 -8.1873	 -1.1276	 -1.1045	 -1.0734
+11.9222	 +7.6166	 -6.0450	 -1.1130	 +0.4260	 -0.3972
-27.4893	-35.9180	-11.1936	 +1.8888	 +1.6383	 -0.1200
-12.2326	+22.2445	 +1.7219	 -3.3009	 -0.0339	 +0.6088
-24.7247	+10.5518	+17.5483	 +2.0758	 +1.0201	 -0.2452
 -3.8280	 -4.6192	 +0.5570	 -2.1223	 +1.8318	 -1.2419
 +4.5501	 -2.4204	 -3.7232	 -1.8746	 +2.8456	 -5.0784
+26.1965	+11.7379	-26.6601	 -1.1938	 +1.0009	 -1.2092
 -2.7025	 -3.5417	 -1.2732	 +3.5419	 -2.3425	 -1.3977
+12.0635	 +3.7301	 -0.4207	 +2.4462	 -1.6566	 -1.8945
 -8.1231	 -0.7012	 -8.6347	 -1.4567	 -4.4279	 +2.3381
 -4.4911	 -0.5243	-17.8848	 -1.6112	 +0.6332	 -2.0521
 +9.6237	 -6.8684	 +7.6515	 +0.4402	 -1.4301	 -0.4416
+105.6076	-28.3007	+78.4441	 -1.3588	 -0.8402	 +0.2089
