# Iterations: 24 of 30
# Total Energy: -6.583e+05
#    Kinetic Energy: 6.649e+05
#    Potential Energy: -1.323e+06
# Current Time: 2018-05-08 01:42:53.679720
# Elapsed Time: 2:11:13.769880
# 
# Med. Times for Sections
#    Force Computation:		288.720484
#        [288.720484]
#    Gather Particles:		0.000103
#        [0.000103]
#    Overall:		295.438183
#        [295.438183]
#    Scatter Particles:		0.001252
#        [0.001252]
#    Time Integration:		0.001922
#        [0.001922]
#    Tree Broadcast:		2.561145
#        [2.561145]
#    Tree Construction:		4.153127
#        [4.153127]
# 
# x	y	z	vx	vy	vz
# 
 -7.2925	 -4.2637	 -1.2805	 -6.1959	 +0.5832	 +1.7681
 +3.4605	-19.9601	-11.6569	 +0.5383	 +2.0082	 +0.2724
 +1.0479	 -3.5903	 +7.2295	 +2.4317	 -3.1521	 +0.5915
-22.1284	+26.4497	 -0.7457	 -3.3098	 +1.2751	 +0.1073
 -4.2679	-17.1088	 -5.8917	 +2.2682	 -0.3233	 -0.8889
 -3.6141	 +0.7200	-14.8601	 +1.8368	 +1.2133	 +0.8019
+14.9454	-14.4007	 -7.0233	 -3.4529	 +0.3371	 +0.2484
+12.9393	 +8.2682	 -4.8348	 -1.2435	 +2.6142	 +1.0249
-26.7767	-35.4533	-10.1600	 +0.1979	 +2.9477	 +0.5637
 -9.8252	+22.2601	 +1.5572	 +2.4118	 -0.3425	 -3.5875
-24.4379	+10.8192	+17.9451	 -1.3346	 +1.6070	 -2.1012
 -2.6021	 -5.8013	 +0.7359	 -1.3203	 -3.4103	 -3.8695
 +6.5968	 -2.7844	 -2.6952	 +2.1278	 +0.7003	 -3.8810
+27.2487	+11.4601	-25.6150	 -1.1648	 -0.5910	 -0.3462
 -2.4474	 -3.5303	 -0.6274	 -0.1655	 -2.2903	 -2.1521
+12.6813	 +3.5185	 +1.4832	 +0.2438	 -2.6737	 +2.4601
 -5.1508	 +0.3069	 -8.4736	 +6.2690	 -0.2362	 -0.7116
 -3.8260	 -0.5960	-16.4111	 -3.0652	 -0.0896	 +0.6567
+10.9729	 -6.5598	 +8.2920	 +1.4557	 -0.3744	 -1.2938
+106.8395	-28.1988	+79.6289	 -0.5869	 -0.6893	 +1.4562
 -6.5796	 -6.4138	 -1.9545	 +1.2014	 -2.7271	 -2.9113
 -3.2177	 +2.7374	 -6.9459	 -0.6824	 +0.2359	 +1.1972
 +6.9343	 -0.2734	 -9.7199	 -1.0277	 +0.1019	 -0.1760
 -1.9235	 -5.3506	 +1.5371	 -3.4167	 -0.9044	 +5.4521
 +7.5425	 +6.9499	 -7.6532	 +0.1396	 -0.2032	 -0.3078
-33.2455	+19.0650	 +2.0579	 -2.1851	 +0.4574	 +0.9499
 -0.4419	 +1.6303	 -0.7025	 +3.2205	 -2.4885	 +1.4753
+13.6647	 -7.3352	 +3.0091	 +3.0252	 -0.6079	 -0.8064
