# Iterations: 5 of 10
# Total Energy: -6.644e+05
#    Kinetic Energy: 6.615e+05
#    Potential Energy: -1.326e+06
# Current Time: 2018-05-07 20:56:10.721323
# Elapsed Time: 0:24:25.629083
# 
# Med. Times for Sections
#    Force Computation:		48.164583
#        [48.164583]
#    Gather Particles:		15.078122
#        [15.078122]
#    Overall:		87.927911
#        [87.927911]
#    Scatter Particles:		0.004792
#        [0.004792]
#    Time Integration:		0.002475
#        [0.002475]
#    Tree Broadcast:		9.065254
#        [9.065254]
#    Tree Construction:		15.612184
#        [15.612184]
# 
# x	y	z	vx	vy	vz
# 
 -4.7313	 -4.5543	 -1.3628	 +4.3891	 -1.5098	 +0.0611
 +3.9240	-20.5652	-11.2605	 -1.8353	 -0.5798	 +1.7821
 +0.9333	 -2.9491	 +7.4746	 -3.5624	 -1.4461	 +1.5471
-20.4560	+25.9693	 -0.3085	 +2.1183	 -1.1793	 +1.8977
 -4.1083	-17.0342	 -5.5051	 +0.3221	 +0.8240	 -3.1387
 -3.3683	 +0.2103	-14.7654	 -0.2280	 -2.0057	 -1.4654
+16.7644	-14.4275	 -6.6842	 +4.2825	 +2.1467	 +0.7592
+14.2210	 +7.6519	 -4.7471	 +4.7222	 +2.2513	 -0.2532
-26.0993	-36.2376	 -9.9208	 +0.2016	 +0.5211	 +0.4821
 -9.7397	+22.3582	 +2.7592	 -0.4879	 +1.8754	 -0.7093
-23.3812	+10.2861	+18.8608	 +0.0570	 -0.7471	 +0.7830
 -1.5812	 -4.9654	 +2.2256	 -0.5851	 +0.3618	 +3.2616
 +7.0817	 -2.9332	 -1.3257	 +5.9142	 +1.3682	 +0.6061
+28.3545	+11.5307	-25.0926	 +1.8095	 +0.1342	 +1.3526
 -1.8769	 -3.0216	 +0.1463	 -3.1402	 -0.3700	 -1.6826
+13.1830	 +4.1777	 +1.1648	 -1.8689	 +1.3781	 -0.8379
 -5.8392	 +0.5169	 -7.7883	 +2.3273	 +3.8790	 +1.9576
 -2.3116	 -0.7355	-16.1766	 +0.5341	 -1.3546	 +0.2768
+11.4262	 -6.4653	 +8.8967	 +2.1020	 +1.1978	 -0.8844
+107.6536	-28.0762	+79.6288	 -0.7251	 +0.5555	 +0.2412
 -5.8780	 -5.8604	 -0.7203	 +4.3137	 -1.3491	 +2.5134
 -2.3613	 +2.4876	 -6.5432	 -0.4426	 -1.3333	 +5.1506
 +8.1008	 -0.6438	 -9.4684	 +3.6847	 -2.5167	 +0.3422
 -0.3957	 -5.2152	 +0.5702	 -0.6624	 -0.8867	 +1.1670
 +8.1549	 +6.8883	 -7.0774	 -0.6978	 -0.1234	 +2.1093
-32.0612	+18.6715	 +2.1625	 -1.3392	 -3.1991	 -0.1213
 -0.4861	 +2.2254	 -0.8572	 +0.8255	 +1.1056	 -2.2099
+13.5409	 -7.1348	 +3.4522	 -0.8787	 +1.9678	 -1.7079
+10.2382	+14.1187	 +9.0705	 +2.7800	 -0.7842	 -1.1782
-18.1008	-20.1481	 -3.9353	 +2.0959	 -2.5089	 -0.7165
 -5.9094	 -2.3761	 -0.1393	 -3.5887	 -2.3594	 -0.1378
-53.9927	 +6.9670	 -0.1485	 -0.3328	 -2.1602	 +1.0114
 +2.8212	 -5.2548	-12.9724	 +0.8022	 +3.6965	 -2.1032
 +1.9613	-16.0122	 +6.9999	 +2.5605	 -1.4319	 -0.4614
 -8.3436	 -2.7196	+22.4990	 +0.2057	 +1.2394	 -0.9922
 +5.9832	 +1.6861	 +0.8755	 -1.0796	 +2.6341	 +3.2572
 +4.9738	 -1.1065	 -2.5736	 -0.4172	 +1.3177	 -2.5328
 -3.6373	 +1.6428	 +5.4907	 +0.3998	 +4.0001	 +0.2163
 -0.4321	+32.2966	-10.6046	 +0.7531	 +1.6665	 +0.5249
 +5.0906	 -3.4539	 +2.6062	 -1.2321	 -3.6456	 +4.1243
+13.7587	 -9.6224	+10.9794	 -1.2219	 -0.2290	 +0.0522
 -2.7041	+11.2987	-11.4865	 +2.0313	 +0.6346	 -1.1593
 -2.9087	 -4.0166	 -8.9045	 -3.1800	 -3.3801	 -2.9184
 -1.9907	 +4.0132	 +0.3175	 -3.9997	 -0.1478	 +1.0180
 -5.1211	+22.4366	-19.9714	 +1.2236	 -0.8838	 +2.3200
 +4.6983	 +0.5934	 -4.2962	 +1.3682	 +5.8333	 +0.2022
 -1.5036	 -0.2575	 -9.6501	 +1.4117	 +1.5613	 -0.0512
+36.7574	 -4.8909	 +3.7154	 +2.1238	 -0.3306	 -0.5014
 -2.0651	 +4.4167	 +1.8683	 +0.9623	 +4.1189	 +2.0158
 -4.9928	 -1.6403	 -3.0874	 +2.1114	 -4.4920	 +3.0351
-32.7761	-57.1893	-37.5922	 -2.1621	 -0.5013	 -0.4633
 +0.9450	 -3.8825	 +2.8374	 +2.7805	 +2.2763	 +4.3380
+18.1707	-10.5292	 +6.7076	 -2.1584	 -0.6183	 +1.4143
 +4.0287	+13.3110	 +5.4331	 -1.1482	 -0.6879	 +0.9377
 +6.6908	 -5.0876	+53.7167	 -1.9191	 +1.8576	 +0.4137
-25.3708	 -6.9057	 -2.9475	 -1.9570	 +1.1496	 +2.0270
+34.1933	 -5.4248	 +5.9960	 -0.4129	 -0.4359	 -1.7923
 -3.2970	 +6.4104	 +7.1431	 -5.0594	 -2.1768	 +0.4055
 -0.7792	 -6.4361	 -2.5296	 -2.3741	 +5.9175	 -0.4480
 +4.7835	-22.0959	 +9.6128	 +0.7908	 -0.1631	 -0.0647
-12.2474	 +0.7224	+10.8355	 -4.7299	 -2.5158	 +2.4035
