# Iterations: 81 of 100
# Total Energy: -522676
#    Kinetic Energy: 699153
#    Potential Energy: -1.22183e+06
# Current Time: 2018-05-07 14:47:49.228503
# Elapsed Time: 0:00:56.984291
# Avg. Step Time: 0:00:00.703510
# 
# Avg. Times for Sections
#    Force Computation: 0.5
#    Gather Particles: 0.00013
#    Scatter Particles: 0.00027
#    Time Integration: 0.0016
#    Tree Broadcast: 0.053
#    Tree Construction: 0.054
# 
# x	y	z	vx	vy	vz
# 
 -6.4805	 -3.8042	 -1.3010	 +0.3055	 -0.3850	 -1.1268
 +6.0944	-18.0172	-12.3394	 +2.7243	 +1.6487	 -2.6232
 +3.4860	 -3.9136	 +9.2193	 +3.0713	 -2.7821	 +0.1851
-19.2296	+27.7834	 -2.0158	 +2.0104	 +0.4163	 -3.4854
 -0.2086	-16.5169	 -3.8049	 +5.0700	 -0.5982	 +0.3530
 -3.5343	 +0.7722	-12.0599	 -0.2225	 -1.6433	 +1.8822
+18.7929	-12.8377	 -4.8037	 +2.9524	 +0.5718	 +0.8821
+12.5135	 +9.7934	 -6.5726	 -1.8901	 +1.1837	 -3.5058
-25.5627	-36.1586	 -7.8650	 +0.9826	 -1.4007	 +0.9991
-12.2852	+23.5628	 +2.7599	 -2.7820	 -0.1724	 -1.6261
-22.6206	+12.1755	+20.5255	 +1.2948	 +0.6104	 +0.4447
 -1.0697	 -0.2231	 +1.3999	 -0.1751	 +3.7903	 -2.4980
 +3.8459	 -1.7847	 +0.8791	 -4.0868	 +0.0017	 +1.2584
+29.7903	+12.2565	-23.3063	 +2.0825	 -0.7322	 +0.7789
 -1.0101	 -1.7206	 -1.9185	 +0.2070	 +0.5870	 -3.8283
+15.4508	 +7.6051	 +4.0780	 +2.4684	 +2.0262	 +2.0906
 -9.5469	 +1.6775	 -9.5257	 -3.5945	 -0.0106	 -3.2034
 -4.9769	 -0.1366	-11.9497	 -2.5265	 -0.4327	 +4.3231
 +9.6485	 -2.7471	 +9.0081	 -2.2161	 +2.8711	 -1.8728
+106.5875	-27.0915	+80.1981	 -1.0915	 -0.3554	 -0.8506
 -5.1891	 -2.2496	 -1.9092	 +1.4275	 +3.3950	 -3.2788
 -2.1841	 +4.0269	 -2.6896	 +0.4520	 -0.4464	 +3.7361
