# Iterations: 7 of 10
# Total Energy: -6.643e+05
#    Kinetic Energy: 6.616e+05
#    Potential Energy: -1.326e+06
# Current Time: 2018-05-08 16:56:48.705084
# Elapsed Time: 0:23:41.322572
# 
# Med. Times for Sections
#    Force Computation:		148.055012
#        [148.055012, ]
#    Gather Particles:		0.000512
#        [0.000512, ]
#    Overall:		172.418965
#        [172.418965, ]
#    Scatter Particles:		0.003900
#        [0.003900, ]
#    Time Integration:		0.003057
#        [0.003057, ]
#    Tree Broadcast:		8.682645
#        [8.682645, ]
#    Tree Construction:		15.673341
#        [15.673341, ]
# 
# x	y	z	vx	vy	vz
# 
 -4.6431	 -4.5841	 -1.3616	 +4.4169	 -1.4846	 +0.0610
 +3.8872	-20.5767	-11.2247	 -1.8376	 -0.5689	 +1.7875
 +0.8620	 -2.9780	 +7.5051	 -3.5710	 -1.4388	 +1.5164
-20.4136	+25.9456	 -0.2705	 +2.1228	 -1.1850	 +1.8977
 -4.1019	-17.0175	 -5.5678	 +0.3244	 +0.8380	 -3.1339
 -3.3727	 +0.1702	-14.7943	 -0.2225	 -2.0078	 -1.4403
+16.8499	-14.3844	 -6.6689	 +4.2735	 +2.1554	 +0.7623
+14.3151	 +7.6968	 -4.7521	 +4.7040	 +2.2418	 -0.2487
-26.0952	-36.2271	 -9.9112	 +0.2039	 +0.5242	 +0.4829
 -9.7494	+22.3955	 +2.7450	 -0.4832	 +1.8644	 -0.7110
-23.3799	+10.2712	+18.8764	 +0.0625	 -0.7493	 +0.7784
 -1.5927	 -4.9578	 +2.2905	 -0.5735	 +0.3896	 +3.2421
 +7.1995	 -2.9055	 -1.3135	 +5.8858	 +1.3893	 +0.6120
+28.3907	+11.5334	-25.0655	 +1.8057	 +0.1327	 +1.3560
 -1.9394	 -3.0286	 +0.1125	 -3.1239	 -0.3454	 -1.6922
+13.1453	 +4.2051	 +1.1480	 -1.8930	 +1.3706	 -0.8393
 -5.7923	 +0.5945	 -7.7488	 +2.3487	 +3.8773	 +1.9828
 -2.3009	 -0.7626	-16.1708	 +0.5375	 -1.3543	 +0.2977
+11.4680	 -6.4412	 +8.8789	 +2.0888	 +1.2045	 -0.8972
+107.6391	-28.0651	+79.6337	 -0.7254	 +0.5556	 +0.2410
 -5.7914	 -5.8871	 -0.6700	 +4.3350	 -1.3258	 +2.5149
 -2.3699	 +2.4606	 -6.4397	 -0.4241	 -1.3558	 +5.1803
 +8.1740	 -0.6943	 -9.4607	 +3.6492	 -2.5240	 +0.3926
 -0.4090	 -5.2324	 +0.5935	 -0.6618	 -0.8496	 +1.1639
 +8.1407	 +6.8856	 -7.0350	 -0.7147	 -0.1392	 +2.1245
-32.0879	+18.6075	 +2.1601	 -1.3342	 -3.2020	 -0.1217
 -0.4694	 +2.2473	 -0.9012	 +0.8353	 +1.0871	 -2.1998
+13.5231	 -7.0953	 +3.4179	 -0.8979	 +1.9783	 -1.7141
+10.2937	+14.1028	 +9.0468	 +2.7718	 -0.7960	 -1.1864
-18.0588	-20.1981	 -3.9496	 +2.1025	 -2.5018	 -0.7153
 -5.9807	 -2.4231	 -0.1420	 -3.5629	 -2.3479	 -0.1376
-53.9993	 +6.9238	 -0.1283	 -0.3299	 -2.1605	 +1.0114
 +2.8372	 -5.1807	-13.0141	 +0.7973	 +3.7076	 -2.0799
 +2.0124	-16.0406	 +6.9906	 +2.5590	 -1.4159	 -0.4686
 -8.3395	 -2.6948	+22.4790	 +0.2093	 +1.2408	 -1.0033
 +5.9611	 +1.7386	 +0.9405	 -1.1132	 +2.6210	 +3.2505
 +4.9650	 -1.0799	 -2.6241	 -0.4460	 +1.3303	 -2.5231
 -3.6290	 +1.7227	 +5.4946	 +0.4176	 +3.9915	 +0.1849
 -0.4171	+32.3299	-10.5941	 +0.7532	 +1.6598	 +0.5269
 +5.0655	 -3.5265	 +2.6884	 -1.2624	 -3.6243	 +4.1059
+13.7341	 -9.6268	+10.9803	 -1.2322	 -0.2211	 +0.0429
 -2.6635	+11.3112	-11.5095	 +2.0336	 +0.6192	 -1.1443
 -2.9722	 -4.0839	 -8.9625	 -3.1721	 -3.3619	 -2.8936
 -2.0705	 +4.0098	 +0.3378	 -3.9869	 -0.1767	 +1.0195
 -5.0967	+22.4189	-19.9249	 +1.2251	 -0.8899	 +2.3255
 +4.7253	 +0.7100	 -4.2917	 +1.3418	 +5.8261	 +0.2311
 -1.4753	 -0.2262	 -9.6506	 +1.4184	 +1.5681	 -0.0168
+36.7998	 -4.8975	 +3.7054	 +2.1181	 -0.3298	 -0.5020
 -2.0456	 +4.4988	 +1.9083	 +0.9791	 +4.0958	 +1.9992
 -4.9502	 -1.7299	 -3.0263	 +2.1358	 -4.4752	 +3.0620
-32.8193	-57.1993	-37.6015	 -2.1614	 -0.5002	 -0.4626
 +1.0006	 -3.8366	 +2.9239	 +2.7786	 +2.3007	 +4.3156
+18.1274	-10.5415	 +6.7358	 -2.1694	 -0.6117	 +1.4101
 +4.0056	+13.2970	 +5.4517	 -1.1547	 -0.7074	 +0.9275
 +6.6524	 -5.0504	+53.7249	 -1.9194	 +1.8579	 +0.4109
-25.4098	 -6.8827	 -2.9069	 -1.9473	 +1.1528	 +2.0277
+34.1850	 -5.4335	 +5.9602	 -0.4190	 -0.4348	 -1.7935
 -3.3981	 +6.3666	 +7.1508	 -5.0491	 -2.1929	 +0.3819
 -0.8266	 -6.3173	 -2.5384	 -2.3678	 +5.9482	 -0.4343
 +4.7993	-22.0990	 +9.6115	 +0.7877	 -0.1524	 -0.0706
-12.3418	 +0.6720	+10.8834	 -4.7157	 -2.5165	 +2.3898
 -6.4741	 +2.7526	-19.1323	 -0.7568	 -0.2420	 -0.4139
 -1.0536	 -9.8130	 -1.0066	 +1.6332	 -1.3501	 -0.2603
 -4.0590	 -4.6222	 -7.4594	 +0.3847	 +0.4547	 +4.7345
 -0.1543	 -3.5683	 -5.4811	 +2.0244	 +5.9169	 -0.0761
 -5.1199	 -3.4054	 -8.7333	 -2.4247	 +0.2590	 -0.7728
 +6.7160	 -2.0827	+23.6513	 -1.4709	 -0.7719	 +0.5355
-11.9236	-11.9733	+28.2964	 -0.5792	 -0.4791	 -3.1149
 -1.5265	 -7.5511	-19.3935	 +1.4332	 -0.1271	 -1.7846
 -2.2946	+11.1488	 -4.2896	 -1.6010	 -0.9534	 +0.7775
 +0.6395	 -4.2945	 -0.4093	 +3.2709	 +2.0295	 -0.1402
-11.7964	-12.0792	 -4.9441	 -1.6635	 +0.5281	 +1.5460
-10.2033	 +6.2761	 -1.1428	 -0.5352	 -1.8384	 -2.3829
-14.4824	+15.3440	-92.2623	 +0.8574	 +0.7392	 +0.8425
+28.3327	-28.5295	-12.9077	 -0.1704	 -0.0633	 +1.7872
 -8.3197	+10.9845	-10.1410	 +2.2758	 -0.4499	 -1.0775
 -3.3481	 +2.2814	 -7.3875	 +1.0143	 -0.4671	 -4.7000
 +0.2864	 -7.9527	+14.5414	 -0.8885	 +4.8109	 +0.2226
 -2.7884	+10.1831	 -3.2748	 +1.2453	 +1.6133	 -1.4153
+21.8144	-15.2342	 -4.3496	 -2.2682	 +0.9832	 +1.3131
 +0.9987	 +0.6468	 -1.3382	 +0.8840	 +0.1665	 +1.1152
+11.4372	 +9.0901	 -6.4277	 +2.1350	 -2.2059	 +5.1089
 -0.6189	 -0.4064	 -4.6426	 +3.0394	 +0.7966	 -1.6601
 -8.9245	+24.6624	+15.1410	 -0.3562	 +0.8757	 +0.3210
+14.3185	 +3.8356	 +1.5437	 +2.0679	 -0.1243	 +1.4000
 +5.8702	+13.3649	+10.0062	 +0.5596	 +0.0158	 -0.1427
-14.5903	 -5.0602	 +3.6081	 -0.5154	 -1.6809	 -0.8673
 +1.0503	+15.7011	+10.2907	 +1.0080	 +0.3450	 -0.0226
 -3.7657	-27.1570	+11.1757	 +1.0048	 +1.9842	 +0.0101
 +7.1693	 -8.5191	 +3.5829	 -2.1487	 +3.3195	 -0.2472
 -9.5572	 -0.6117	 -2.7076	 -3.1560	 +0.7776	 -2.4004
 -2.4073	 -0.6223	 +1.7975	 -4.4676	 +0.9848	 -0.4522
-11.8422	-26.0603	-46.6276	 -0.9454	 -1.0625	 +0.3936
 +8.0617	 +2.7643	 -7.6914	 -1.4485	 +2.1996	 +0.3971
 +6.8195	+13.1694	 +1.2899	 -0.1864	 -1.5724	 -2.2689
 +8.3790	 -8.0953	 +5.3467	 +2.1335	 +4.0649	 -0.8038
 -5.5913	+33.0372	-18.7580	 +0.8373	 +1.2412	 +1.6856
 +4.2508	 -2.4984	+18.2997	 +2.7999	 -0.7705	 +1.5786
 -7.6864	+15.2587	 +3.0849	 +3.5073	 +3.6236	 -0.7402
-11.7812	-12.0159	-20.7707	 +1.9775	 +0.3489	 +2.2657
 +9.1245	 -0.2157	 -1.7489	 +5.3739	 +1.3767	 -0.8198
-11.3773	 -1.5685	 -9.4431	 +3.9059	 +0.7961	 +1.0777
 -1.0853	 +0.5192	 +5.9828	 +2.0611	 +1.6382	 +0.2683
 -1.9666	 -7.4618	 -7.3087	 -2.1440	 +1.7934	 +2.1090
 +1.9468	 +3.0564	 -3.5573	 +0.8366	 -1.7123	 +0.1051
 -6.9321	 -1.3371	 +4.3317	 +1.6460	 -0.8024	 +0.6698
-15.5304	-17.6986	+23.4421	 -1.2507	 -0.0040	 +3.0945
 -5.5291	-14.1829	 +0.9730	 -2.3108	 +0.7186	 +3.7221
+27.4273	 +9.5631	+19.2992	 +0.5027	 -1.8712	 -0.7914
 +2.7469	 +1.3473	 -5.6378	 -0.1952	 -1.2411	 +3.7902
 -3.5268	 -0.0815	 -0.9616	 +4.5146	 -1.0149	 +3.6409
+476.6222	+387.4682	-226.2716	 +0.2114	 -0.1710	 +0.7398
-137.0630	+98.5183	+200.8739	 +0.2546	 -0.6040	 -0.2791
 +8.9725	 -2.1621	+10.7324	 -1.3052	 +2.1731	 -2.4414
 +8.6956	 +2.2761	+21.4555	 -1.1702	 +1.3563	 +2.3293
 +2.2036	 +9.1711	 +9.6725	 -2.3159	 +1.8278	 +0.1983
 +4.6576	 +5.6560	 +2.9338	 +2.6666	 +0.4013	 -0.3137
-72.5331	-16.2189	 -8.7250	 -0.7366	 -2.1822	 +0.2867
 -1.1805	 -0.0490	 +2.1883	 -4.7109	 +2.7637	 -0.5614
+47.0370	-21.7759	-42.9201	 -1.6900	 -0.0818	 -1.4065
-13.4544	 +8.3628	 -5.2084	 -0.1202	 -3.0803	 -2.7888
 +2.4378	 -2.1455	 +1.0517	 +1.9692	 -1.3164	 +4.0264
 +3.0704	 -2.4641	 +2.2011	 -0.9587	 -2.3910	 -1.3858
 +3.7718	 -8.0031	 -0.5204	 -1.9503	 +1.0493	 -2.1664
 -2.1344	 +1.4408	 -0.3288	 +5.4987	 -1.4905	 +5.8455
 +3.6635	 -5.6976	 +3.5962	 +3.5449	 -0.6342	 +2.6115
-15.2782	 +0.8061	 -0.9026	 -0.5204	 -3.4443	 -0.3462
 -5.7854	 -3.9659	 +3.9018	 -1.2446	 +1.0522	 +1.5229
 -4.9825	 -0.4561	 -7.2093	 -0.3040	 -1.8376	 +1.1886
+14.6315	-12.8640	 +1.9292	 -1.7199	 -1.5140	 -3.1682
+15.6809	+32.9480	-160.8941	 +0.0045	 -0.0390	 +0.8654
 +7.9696	 -3.1535	 +7.8216	 -0.0943	 +0.9565	 -0.6512
 +8.7151	 -5.4818	 -7.4764	 +1.9197	 +1.2840	 -2.1329
 -1.6885	 -7.3845	 +3.8175	 +0.4969	 +1.8763	 +2.8832
 -0.5740	 +3.2640	 +0.1458	 -0.1436	 +2.6907	 +2.3534
-15.3744	+25.3372	-34.9077	 +2.0510	 +0.4876	 -1.0757
 -3.6433	-11.4622	 -6.0663	 +2.1414	 -2.2263	 -2.0746
+21.6664	-14.4250	+16.1087	 -0.5603	 -3.2178	 -0.3626
 +3.5691	 -0.9676	 +6.8469	 -2.1917	 +1.8834	 +0.5149
+15.6417	 -9.3381	-11.6293	 +1.5234	 -0.1747	 +1.8408
 +2.0810	 -4.7449	+11.5858	 +0.7052	 -1.6403	 +3.9432
+13.2266	 -8.1623	 +5.8563	 -0.5020	 -3.3356	 -1.8963
 +1.6611	 -2.7088	 -1.5610	 -2.4614	 +0.2718	 -1.2486
-31.0180	 +3.5536	-35.9599	 +1.1517	 -2.1612	 -0.1943
+59.5523	 +6.9473	+22.0323	 -0.2215	 +1.9843	 -0.9661
 +3.2720	 +5.0850	 +0.9933	 -0.3708	 -1.5474	 -4.2478
-25.8496	-71.3815	+46.5208	 +1.0057	 +1.2318	 -0.0540
 +6.2088	 +7.3496	 -7.1109	 +1.5599	 -3.0486	 -1.8216
+21.2786	 +8.1013	 -0.8328	 -0.5544	 +1.2991	 +1.2692
 -4.8797	 -4.7111	 +0.3347	 -3.5490	 -1.3481	 +1.4982
 +3.0910	 -6.0452	+12.5469	 +1.3141	 -0.2524	 +1.0170
 -1.1870	 -5.7613	 +2.1953	 +3.4027	 +2.1394	 -1.5274
 +6.8895	 -3.6906	 +0.0573	 -3.4459	 +0.9440	 +0.1278
 -5.8822	+12.7957	 -5.0892	 +1.6725	 +0.9982	 +0.9978
 +7.4686	 -0.8264	 -6.1193	 -3.0055	 -2.4603	 +0.8948
 -7.1104	 -3.1024	-16.6740	 -0.5543	 +1.4090	 -1.0965
 +2.0197	 +8.0575	-12.1806	 -1.8204	 -2.1914	 -1.9497
+11.0582	 +2.2134	+29.4666	 +0.0748	 -1.1835	 -0.9566
 -5.4327	 +4.1724	 -7.1667	 +0.3764	 +3.6699	 +3.2427
 -5.1383	 +3.7824	 +0.9539	 -4.1490	 +5.9463	 +0.9246
 +4.3603	 -0.3514	 -4.1461	 -2.3196	 -0.2357	 +1.5887
-18.6052	 +2.7736	+11.6200	 +1.1124	 +3.3504	 +1.6235
 +8.9561	 +1.0328	 -1.2369	 -1.1623	 -2.8174	 -1.0625
+16.8014	 +7.9340	 +5.9437	 +0.0621	 +1.9784	 -1.7849
 -6.7042	 -4.0274	 -6.2496	 +2.4170	 +1.1029	 -5.2850
 +5.5225	 -2.0280	 +5.2578	 -4.4031	 +2.4197	 +3.0662
 -2.3402	 -2.4319	 +4.2506	 +0.0602	 +4.1752	 -0.1719
-14.2733	 -1.0014	-16.0771	 +2.0968	 +0.4607	 -0.7908
 +1.0204	 -1.5405	 -3.1131	 -2.5929	 +1.0256	 +2.0316
