# Iterations: 8 of 10
# Total Energy: -6.698e+05
#    Kinetic Energy: 6.703e+05
#    Potential Energy: -1.340e+06
# Current Time: 2018-05-08 18:24:49.065753
# Elapsed Time: 0:01:11.547156
# 
# Med. Times for Sections
#    Force Computation:		5.373885
#        [5.373885, ]
#    Gather Particles:		0.000111
#        [0.000111, ]
#    Overall:		7.122537
#        [7.122537, ]
#    Scatter Particles:		0.001884
#        [0.001884, ]
#    Time Integration:		0.002410
#        [0.002410, ]
#    Tree Broadcast:		0.764460
#        [0.764460, ]
#    Tree Construction:		0.979740
#        [0.979740, ]
# 
# x	y	z	vx	vy	vz
# 
 -6.7735	 -4.4507	 -2.6175	 +0.1867	 +0.2260	 -0.3671
 +2.3517	-20.3827	-12.4420	 +1.2046	 +1.7227	 +1.5831
 -0.8148	 -3.1499	 +6.4497	 -1.8374	 -3.0521	 +3.1073
-22.5874	+25.9722	 -1.5331	 -2.3645	 -0.6897	 +1.1764
 -5.7369	-17.3383	 -6.4425	 +1.9599	 -2.8039	 +0.9736
 -4.9066	 +0.3842	-16.0094	 +2.6608	 +0.6669	 -1.2585
+14.6207	-14.6673	 -8.0460	 -1.0729	 -1.1551	 -1.1028
+12.0596	 +7.5567	 -5.9902	 -0.9901	 +0.4996	 -0.4509
-27.7339	-36.1298	-11.1776	 +1.8744	 +1.6181	 -0.1254
-11.8017	+22.2444	 +1.6418	 -3.3312	 +0.0417	 +0.6249
-24.9925	+10.4182	+17.5784	 +2.0408	 +1.0363	 -0.2152
 -3.5435	 -4.8469	 +0.7122	 -2.2632	 +1.6567	 -1.1382
 +4.7832	 -2.7818	 -3.0536	 -1.7091	 +2.7011	 -5.2350
+26.3502	+11.6073	-26.5015	 -1.1684	 +1.0088	 -1.2317
 -3.1621	 -3.2293	 -1.0931	 +3.5236	 -2.4701	 -1.3732
+11.7373	 +3.9434	 -0.1737	 +2.5776	 -1.6218	 -1.9082
 -7.9223	 -0.1233	 -8.9291	 -1.6524	 -4.4576	 +2.1759
 -4.2808	 -0.6056	-17.6095	 -1.6236	 +0.6155	 -2.1937
 +9.5601	 -6.6788	 +7.7034	 +0.5457	 -1.4910	 -0.3500
+105.7841	-28.1915	+78.4169	 -1.3563	 -0.8408	 +0.2107
 -7.7565	 -5.6550	 -2.3914	 +1.9528	 +1.4861	 -3.3683
 -4.1043	 +2.1693	 -8.0857	 +0.2191	 -4.3763	 -0.1599
 +5.9815	 -0.2521	-10.5640	 -1.0998	 +2.7224	 +1.5924
 -2.4001	 -5.1720	 -0.2601	 -2.9124	 -0.0634	 +5.0534
 +6.5606	 +6.9934	 -8.4676	 +1.6979	 +1.1401	 -0.5102
-33.9740	+19.0745	 +0.8362	 -2.2403	 +2.4121	 -1.3014
 -2.4958	 +1.6854	 -2.2255	 -1.8840	 -5.2049	 -3.1384
+11.4825	 -7.3051	 +2.5504	 -3.5806	 -0.4998	 +2.3546
 +8.5704	+13.9920	 +7.7414	 +3.2110	 -1.8774	 -2.0483
-19.7347	-19.8309	 -5.0618	 +3.1531	 +1.9305	 +0.5240
 -7.1104	 -2.5472	 -1.7714	 +4.2076	 -3.4044	 -4.6860
-55.8485	 +7.2717	 -1.2611	 -0.9382	 +2.0145	 +1.8290
 +0.5954	 -5.5445	-13.9272	 -4.2984	 -0.6699	 +1.5316
 -0.0568	-15.7957	 +5.7086	 -0.8181	 +1.5424	 -1.1467
-10.1306	 -2.8602	+21.4572	 +0.1875	 -0.6647	 +1.2668
 +4.2837	 +1.5969	 -0.4926	 +0.2639	 +0.8062	 +0.4856
 +3.2180	 -1.6732	 -3.5000	 +0.0845	 -5.3230	 +1.5600
 -5.0915	 +1.1030	 +4.5036	 +4.0652	 -3.2689	 +2.6330
 -2.3364	+32.0597	-11.7987	 -0.7559	 -1.4597	 +0.6008
 +3.4898	 -2.8565	 +1.3974	 +1.2312	 +4.2890	 +2.8163
+12.2551	 -9.9553	 +9.8265	 +2.3663	 -3.7723	 +0.7299
 -4.6562	+11.1823	-12.5343	 -0.4311	 -0.8177	 +1.1176
 -4.7123	 -3.4807	-10.0097	 -2.2448	 +3.7845	 -0.6627
 -3.9139	 +3.9946	 -1.0493	 -4.1049	 -0.2739	 -0.9802
 -6.7750	+22.4934	-21.2692	 +2.3411	 +0.1043	 +0.6486
 +2.7576	 +0.1109	 -5.0844	 -0.8811	 -1.4318	 +4.8475
 -3.1615	 +0.0669	-11.0004	 +2.4213	 +4.7067	 -1.4783
+34.8561	 -4.9935	 +2.3872	 +0.1824	 -1.2904	 -1.5751
 -3.7072	 +4.4046	 +0.5042	 +2.3412	 +2.6327	 -0.3365
 -6.7276	 -0.9644	 -4.5038	 +2.0706	 +4.5689	 -0.1763
