# Iterations: 6 of 10
# Total Energy: -6.582e+05
#    Kinetic Energy: 6.634e+05
#    Potential Energy: -1.322e+06
# Current Time: 2018-05-08 18:42:00.454153
# Elapsed Time: 0:02:16.768474
# 
# Med. Times for Sections
#    Force Computation:		9.809675
#        [9.809675, ]
#    Gather Particles:		0.000366
#        [0.000366, ]
#    Overall:		18.293875
#        [18.293875, ]
#    Scatter Particles:		0.001878
#        [0.001878, ]
#    Time Integration:		0.003000
#        [0.003000, ]
#    Tree Broadcast:		3.454282
#        [3.454282, ]
#    Tree Construction:		5.024549
#        [5.024549, ]
# 
# x	y	z	vx	vy	vz
# 
 -6.1574	 -4.3531	 -1.5954	 -6.4342	 +0.3978	 +1.7319
 +3.3618	-20.3136	-11.7018	 +0.5586	 +1.9146	 +0.2238
 +0.6071	 -3.0107	 +7.0956	 +2.4503	 -3.2874	 +0.9046
-21.5292	+26.2160	 -0.7649	 -3.3502	 +1.3242	 +0.1059
 -4.6771	-17.0353	 -5.7296	 +2.3032	 -0.4968	 -0.9022
 -3.9410	 +0.5000	-14.9866	 +1.7896	 +1.2315	 +0.5915
+15.5601	-14.4550	 -7.0649	 -3.3734	 +0.2627	 +0.2124
+13.1503	 +7.7897	 -5.0144	 -1.0908	 +2.7066	 +0.9677
-26.8105	-35.9814	-10.2608	 +0.1766	 +2.9192	 +0.5560
-10.2560	+22.3126	 +2.2018	 +2.3717	 -0.2361	 -3.5734
-24.1933	+10.5282	+18.3198	 -1.3866	 +1.6283	 -2.0602
 -2.3564	 -5.1631	 +1.4204	 -1.4110	 -3.6883	 -3.7182
 +6.1867	 -2.8955	 -1.9885	 +2.4386	 +0.5372	 -3.9422
+27.4555	+11.5654	-25.5502	 -1.1306	 -0.5782	 -0.3764
 -2.4141	 -3.0964	 -0.2460	 -0.2127	 -2.5460	 -2.0660
+12.6176	 +3.9952	 +1.0386	 +0.4737	 -2.6167	 +2.4774
 -6.2646	 +0.3500	 -8.3237	 +6.0907	 -0.2442	 -0.9608
 -3.2717	 -0.5786	-16.5121	 -3.0938	 -0.1045	 +0.4543
+10.7000	 -6.4859	 +8.5166	 +1.5834	 -0.4498	 -1.1940
+106.9449	-28.0747	+79.3666	 -0.5835	 -0.6902	 +1.4587
 -6.7790	 -5.9038	 -1.4274	 +1.0010	 -2.9514	 -2.9459
 -3.0943	 +2.6797	 -7.1381	 -0.6990	 +0.4114	 +0.9233
 +7.0880	 -0.3574	 -9.7977	 -1.1192	 +0.7519	 +0.5878
 -1.3062	 -5.1632	 +0.5428	 -3.4223	 -1.1948	 +5.5970
 +7.5053	 +6.9747	 -7.5859	 +0.2809	 -0.0652	 -0.4490
-32.8485	+18.9805	 +1.8866	 -2.2287	 +0.4833	 +0.9534
 -1.0216	 +2.0713	 -0.9702	 +3.2169	 -2.4292	 +1.4888
+13.1062	 -7.2185	 +3.1510	 +3.1910	 -0.6936	 -0.7677
 +9.4633	+14.3498	 +8.6733	 +1.4733	 +1.4362	 -1.6888
-18.9357	-19.9866	 -4.4042	 +0.0360	 -1.0283	 -2.3145
 -6.5609	 -1.8543	 -0.5088	 -2.2034	 +4.2469	 -0.3944
-54.6664	 +7.2737	 -0.6104	 +0.2553	 +1.3423	 -0.7326
 +1.8941	 -5.3493	-13.0025	 -2.3951	 +0.6373	 +2.7758
 +1.0641	-15.8915	 +6.7630	 -0.4598	 -0.6833	 +1.2154
 -9.0226	 -2.6094	+22.0996	 +0.6410	 +1.4499	 -1.5638
 +5.4306	 +1.6189	 +0.4218	 +1.3269	 +0.1040	 +1.3040
 +4.2809	 -1.2971	 -2.6548	 -0.1046	 -2.7790	 +1.6749
 -4.3064	 +1.6010	 +5.0788	 +0.9599	 +1.6359	 -0.7135
 -1.0725	+32.1986	-10.9320	 +1.6613	 -1.1619	 +0.7719
 +4.7958	 -3.1293	 +2.2275	 +4.8880	 +0.3333	 +3.1146
+13.2471	 -9.4767	+10.6382	 +1.8024	 +0.7007	 +0.1661
 -3.7012	+11.3325	-11.8772	 -2.3383	 -0.1669	 -1.5711
 -3.5130	 -3.2743	 -9.0336	 -1.1891	 +6.5134	 +0.6633
 -2.7570	 +3.9373	 -0.0528	 -4.2059	 -2.4119	 +0.5726
 -5.9380	+22.6982	-20.3715	 -0.4573	 +1.7894	 +1.2741
 +3.7934	 +0.2500	 -4.4448	 -1.4981	 -1.0188	 +2.9853
 -2.2390	 -0.3058	-10.1494	 +0.8667	 -0.5409	 -2.1634
+35.9360	 -4.7714	 +3.3036	 +0.2468	 +0.2364	 -1.3140
 -2.6591	 +4.3015	 +1.4828	 +2.5128	 +0.6888	 +1.2134
 -5.6895	 -0.9384	 -3.7841	 +2.0300	 +4.9877	 -2.3538
-33.3808	-57.0212	-37.9666	 -0.3282	 +0.7844	 -0.7467
 +0.0276	 -3.7369	 +2.0818	 -0.5619	 +2.8426	 -2.0784
+17.5182	-10.4831	 +6.3649	 -1.0136	 -1.0553	 +1.3143
 +3.4746	+13.2852	 +5.1686	 +1.2614	 -2.1582	 +2.0210
