# Iterations: 1 of 5000
# Total Energy: -4.868e+05
#    Kinetic Energy: 3.974e+05
#    Potential Energy: -8.842e+05
# Current Time: 2018-05-09 14:41:26.225332
# Elapsed Time: 0:00:35.708613
# 
# Med. Times for Sections
#    Force Computation:		0.534741
#        [0.534741, ]
#    Gather Particles:		0.220262
#        [0.220262, ]
#    Overall:		5.063376
#        [5.063376, ]
#    Scatter Particles:		0.012635
#        [0.012635, ]
#    Time Integration:		0.053590
#        [0.053590, ]
#    Tree Broadcast:		1.850831
#        [1.850831, ]
#    Tree Construction:		2.391215
#        [2.391215, ]
# 
# x	y	z	vx	vy	vz
# 
+18.1780	 -4.4433	 -2.5941	 -0.9559	 +0.6240	 -0.2797
+27.2371	-20.4681	-12.5392	 -0.1452	 +1.6962	 +1.1075
+24.2607	 -2.9384	 +6.2546	 -2.3674	 -1.7575	 +2.2836
 +2.5188	+26.0342	 -1.6056	 -2.6849	 +0.0217	 +0.8302
+19.0994	-17.1467	 -6.5041	 +0.4465	 -1.4460	 +0.7217
+19.8895	 +0.3631	-15.9298	 +0.8675	 +0.9710	 -0.9386
+39.6462	-14.5754	 -7.9776	 -1.7409	 -0.3339	 -0.7898
+37.0790	 +7.5450	 -5.9617	 -1.6582	 +0.8777	 -0.3382
 -2.8895	-36.2093	-11.1698	 +0.3189	 +1.6399	 -0.0898
+13.3642	+22.2608	 +1.6031	 -3.3682	 +0.5546	 +0.4472
 -0.1580	+10.3739	+17.5913	 +0.4306	 +1.2339	 -0.1424
+21.5578	 -4.9269	 +0.7812	 -2.6487	 +1.6135	 -0.7716
+29.8470	 -2.9263	 -2.7284	 -2.1704	 +2.3496	 -3.7582
+51.3820	+11.5649	-26.4252	 -1.8182	 +1.2159	 -0.8784
+21.5808	 -3.0553	 -1.0085	 +1.4746	 -1.2850	 -0.9658
+36.5368	 +4.0629	 -0.0557	 +0.8577	 -0.6311	 -1.3551
+17.1421	 +0.1718	 -9.0612	 -2.2388	 -2.6506	 +1.4821
+20.7794	 -0.6234	-17.4723	 -2.1537	 +0.9294	 -1.5999
+34.4850	 -6.5660	 +7.7238	 -0.5788	 -0.5749	 -0.2157
+130.8278	-28.1196	+78.4038	 -1.9584	 -0.0947	 +0.1496
+17.0857	 -5.7245	 -2.1831	 +0.3013	 +1.4924	 -2.3912
+20.8419	 +2.4577	 -8.0734	 -0.8411	 -2.5477	 -0.1763
+31.0127	 -0.4012	-10.6597	 -1.8807	 +2.4538	 +1.0497
+22.7349	 -5.1484	 -0.5732	 -2.9551	 +0.4356	 +3.5852
+31.4142	 +6.9418	 -8.4350	 +0.2403	 +1.3373	 -0.3904
 -8.8755	+18.9452	 +0.9164	 -2.5999	 +2.2058	 -0.9206
+22.5806	 +2.0256	 -2.0305	 -2.3373	 -3.1568	 -2.2552
+36.6618	 -7.2534	 +2.4047	 -3.4891	 +0.1252	 +1.6753
+33.3314	+14.1267	 +7.8670	 +1.2903	 -0.7974	 -1.4280
 +5.0312	-19.9293	 -5.0940	 +1.2083	 +1.8504	 +0.3676
+17.5927	 -2.3167	 -1.4812	 +1.8947	 -1.9149	 -3.3415
-30.8294	 +7.1652	 -1.3744	 -1.6474	 +1.8755	 +1.2829
+25.8203	 -5.4821	-14.0198	 -4.0355	 +0.0001	 +1.0320
+24.9534	-15.8694	 +5.7788	 -1.5765	 +1.5530	 -0.7955
+14.8181	 -2.7991	+21.3781	 -0.8788	 +0.0271	 +0.9191
+29.2248	 +1.5655	 -0.5229	 -0.7472	 +1.1151	 +0.3521
+28.1705	 -1.3231	 -3.5949	 -0.8832	 -3.3050	 +1.0644
+19.6206	 +1.3242	 +4.3374	 +1.7891	 -1.7947	 +1.9572
+22.6702	+32.1691	-11.8356	 -1.5363	 -0.5183	 +0.4210
+28.3700	 -3.1000	 +1.2223	 -0.0331	 +3.5017	 +2.0259
+37.0681	 -9.7018	 +9.7806	 +0.6948	 -2.1851	 +0.5382
+20.3306	+11.2515	-12.6021	 -1.3147	 -0.0446	 +0.7586
+20.3870	 -3.6931	 -9.9659	 -2.6136	 +3.1441	 -0.5440
+21.3012	 +4.0290	 -0.9884	 -3.9543	 +0.3729	 -0.7051
+18.0406	+22.5064	-21.3088	 +0.6503	 +0.5866	 +0.4479
+27.7653	 +0.2179	 -5.3847	 -1.4603	 -0.4656	 +3.4455
+21.6493	 -0.2037	-10.9062	 +0.7022	 +3.8342	 -1.1254
+59.8042	 -4.8938	 +2.4844	 -0.8572	 -0.4144	 -1.1138
