# Iterations: 241 of 5000
# Total Energy: -4.846e+05
#    Kinetic Energy: 4.604e+05
#    Potential Energy: -9.451e+05
# Current Time: 2018-05-09 15:00:49.585278
# Elapsed Time: 0:19:59.068547
# 
# Med. Times for Sections
#    Force Computation:		0.148996
#        [0.227268, 0.112738, 0.157683, 0.128858, 0.103050, 0.099283, 0.383190, 0.276292, 0.348658, 0.140308, ]
#    Gather Particles:		0.223602
#        [0.629107, 0.225440, 0.223420, 0.223784, 0.222090, 0.221574, 0.220326, 0.225153, 0.224007, 0.223375, ]
#    Overall:		4.779014
#        [5.165337, 4.706390, 4.798278, 4.694666, 4.759749, 4.705845, 4.915951, 4.859630, 4.958341, 4.723278, ]
#    Scatter Particles:		0.010505
#        [0.010688, 0.010518, 0.010520, 0.010394, 0.010372, 0.010416, 0.011984, 0.010481, 0.010492, 0.010518, ]
#    Time Integration:		0.026775
#        [0.033891, 0.024892, 0.025295, 0.028606, 0.027542, 0.025210, 0.027667, 0.027047, 0.026502, 0.024856, ]
#    Tree Broadcast:		1.919811
#        [1.903774, 1.911874, 1.933037, 1.948718, 2.018139, 1.989089, 1.920102, 1.895823, 1.919521, 1.893347, ]
#    Tree Construction:		2.399664
#        [2.360500, 2.420855, 2.448237, 2.354214, 2.378474, 2.360192, 2.352583, 2.424755, 2.429075, 2.430792, ]
# 
# x	y	z	vx	vy	vz
# 
+20.9144	 +3.5043	 -1.1175	 +0.7720	 +1.9935	 +1.0215
+24.6273	 -8.2168	 -5.3268	 -1.1704	 +3.6977	 +1.8946
+12.7282	 -6.7828	 +8.5032	 -2.4840	 +0.1546	 -1.0402
-10.0888	+23.2314	 +2.3470	 -2.5622	 -1.2553	 +0.7698
+19.4193	-16.7742	 -4.6661	 -0.1945	 +1.1446	 +0.5731
+22.6957	 +4.5986	-13.1734	 +0.0667	 +0.5915	 +2.1290
+28.4067	-13.5400	-10.2602	 -2.9668	 +0.8475	 -0.1220
+23.4729	 +8.1369	 -4.9243	 -4.3120	 -0.9105	 +0.7902
 -1.4034	-26.1040	-10.9438	 +0.2800	 +2.6532	 +0.2250
 -2.4147	+21.2590	 +3.0451	 -3.1964	 -0.9261	 +0.1152
 +2.4747	+14.4028	+14.4181	 +0.6340	 +0.3899	 -1.2597
+16.0120	 +5.7333	 -4.6478	 +0.1066	 +1.7018	 -0.8073
+13.1011	 +8.5756	-11.9809	 -3.7386	 +1.7228	 -0.1328
+41.2010	+16.9133	-29.4818	 -2.4168	 +0.9927	 -0.3854
+23.2989	 +0.0097	 -4.0755	 -1.3690	 +2.1026	 -0.0580
+33.7365	 +0.2146	 -6.0598	 -2.0016	 -0.8221	 -1.0710
+11.7628	 -8.7560	 +2.4895	 -0.2990	 -0.6386	 +2.5584
+10.5298	 +4.2189	-19.3082	 -2.0856	 +0.9636	 +0.7685
+26.4358	 -6.2884	 +2.6888	 -2.7604	 +0.8574	 -1.9397
+121.2443	-28.5329	+79.0051	 -2.0352	 -0.0772	 +0.1001
+23.1798	 +6.1463	 -6.7876	 +0.6758	 +2.7077	 +0.8539
+18.2388	 -7.1818	 -1.3268	 -0.9787	 -0.4922	 +2.2186
+17.4243	 +7.9296	 +0.2424	 -3.6491	 +0.0924	 +2.8195
+10.3712	 +1.6902	 +9.8817	 -1.9699	 +1.7221	 +0.8017
+26.8764	 +9.1156	 -6.6834	 -2.2222	 -0.4704	 +1.0987
-21.5073	+26.0423	 -3.6841	 -2.5405	 +0.7522	 -0.9504
+13.7729	 -8.0307	 -6.5346	 -1.3411	 -0.4743	 +0.2653
+14.1954	 -2.5080	 +6.0263	 -5.4413	 +1.9409	 -0.8251
+34.8255	 +6.4539	 -0.3115	 -0.7693	 -2.1127	 -1.8329
+11.9092	 -7.0651	 -3.1144	 +1.6897	 +3.8560	 +0.5648
+28.3071	 -5.3486	-11.4804	 +1.5598	 +0.4821	 -0.8664
-33.0229	 +9.6133	 +3.2954	 +0.4970	 -0.4586	 +0.6381
