# Num Particles: 10000
# Num Cores: 32
# Total Energy: -2.876035e+06
# Iterations: 1931 of 10000
# Current Time: 2018-05-08 05:26:26.290803
# Elapsed Time: 1 day, 9:59:28.447457
# Avg. Step Time: 0:01:03.370506
# 
# x	y	z	vx	vy	vz
# 
 +4.7412	 -2.7534	 -1.6408	 +2.4757	 +4.4193	 +1.4573
+14.3469	+17.6730	-12.4604	 +0.7514	 -1.6967	 -1.5705
-10.5930	 +1.4509	 -5.1414	 -0.7878	 +1.5207	 -2.2401
 +9.4089	-28.9142	-24.2520	 -0.8679	 -0.6625	 -2.2221
 -2.0273	 -9.2442	+13.3201	 -0.5777	 -2.1000	 -2.6804
 -1.4572	 -0.7069	 -6.0056	 -0.8497	 -5.5323	 -0.8085
+36.3223	+36.2756	+12.3738	 -0.8755	 +1.9217	 +0.7528
+39.3379	+17.4310	 +1.1964	 -0.7908	 -0.4546	 +0.3886
+15.7153	+18.5567	 -1.4935	 +2.7733	 +2.9566	 -1.0355
 +6.7593	-22.8914	 +9.8027	 +0.3639	 -1.3099	 +1.5879
+12.6800	 +6.6087	-24.2606	 +0.0686	 +1.2070	 -1.3963
 +2.3344	 +4.7961	 -3.6088	 -0.2900	 -1.5211	 -3.6356
-12.1449	-14.2529	 -5.2938	 +0.4826	 -1.6801	 -0.5250
+16.6397	 +1.1735	+14.7654	 -3.9964	 -1.1846	 +1.3232
 +3.8388	 +0.6211	 +3.9179	 +0.1582	 -1.6477	 +2.1893
 +7.3688	+12.3987	 -4.1490	 -1.5611	 -0.2091	 -0.3431
 -3.3720	+11.3313	 -8.8134	 +1.8661	 +0.5792	 +1.9908
 +1.8868	 -9.1057	-11.4480	 +0.8347	 -2.9358	 -1.0700
 +3.5920	 -3.5185	 +4.0710	 +4.7579	 +2.2040	 -2.3904
+90.0723	-16.5301	+81.4041	 -1.1102	 +0.6406	 -0.0749
 -1.5467	-10.9001	 +3.6414	 +2.8134	 +1.1132	 +0.4695
-11.1566	 +4.8161	 -7.4736	 +0.6530	 -1.1533	 +2.3363
 -1.9801	 +7.0439	-14.7921	 +2.3512	 -1.5822	 -0.1594
 +2.6679	 +3.3560	 -3.1345	 -0.3493	 -1.8185	 +1.3237
 +5.4796	 +2.0981	 +2.8367	 -3.9076	 -2.5445	 +0.7765
 -6.4487	-36.7178	 -1.9675	 +3.2391	 -1.0324	 -0.1936
 -2.4281	 +0.1757	 -0.6352	 +0.2787	 +1.3292	 -2.2653
+14.1408	 +1.5535	 -4.5890	 +1.7778	 +1.6677	 -1.6012
-11.7113	 +9.0769	 +8.6419	 +2.7466	 +2.0408	 +1.1296
+20.3696	 +6.0271	 -1.1836	 -1.7266	 +3.8604	 +0.9925
 -8.0513	 -7.9040	 -5.7077	 -0.9354	 -1.5837	 -1.6414
-34.0098	-30.7113	+16.0335	 +2.3390	 -1.3482	 +0.4806
 -0.7119	-14.5109	 -3.2002	 +1.0179	 +0.5757	 -3.9210
-14.8282	 +0.0771	 +4.6263	 +1.7301	 -2.5622	 +0.4381
 +7.4629	-10.7253	-13.4254	 -1.3497	 +0.5399	 +2.7245
 -8.4865	 -1.8452	 -2.4081	 +0.7542	 -1.7514	 -1.9657
 -2.4266	 +0.0106	 +6.7181	 +1.7047	 -0.9242	 +0.6986
 +4.7770	 +2.3336	 -5.3752	 -0.0733	 -3.6852	 -0.2075
 +3.2081	 +0.0314	 +4.3351	 -2.3189	 -6.9340	 -1.5046
+13.2537	 +0.7264	 -3.6567	 -1.4712	 -1.7608	 +2.4606
 +3.2239	 -2.1913	 +2.9093	 -0.0661	 -4.3538	 +4.6361
 -0.6746	 +4.4956	 -4.9554	 +5.2991	 +0.9138	 -1.8973
+16.4873	+15.3583	 +1.5636	 +2.2897	 +1.8548	 -0.9562
 +1.9343	 -1.4928	 -1.6219	 +3.6326	 +2.8854	 -0.5963
 -6.8054	-39.1654	 +6.7164	 -0.8330	 -0.9988	 -0.6523
+10.2080	 -4.2925	 -9.8039	 +0.0568	 +2.8730	 +0.8405
 +1.7957	 +0.4628	 +5.1209	 -1.7510	 -2.7711	 +3.1416
+37.8836	 -5.3229	 -6.9105	 -1.9899	 +0.2447	 -0.3805
 +7.5909	 +8.1528	 +3.0891	 +0.2088	 -1.5498	 -0.6776
-11.2958	 -8.6093	 -5.6371	 +1.6980	 -0.9102	 +1.9222
-68.3932	-58.6305	-41.0394	 -1.5449	 +0.2565	 +0.0449
 +3.3275	 +2.1384	 +2.7252	 +1.0881	 +5.1990	 -0.8154
 +8.0154	+10.6625	-16.4534	 +1.9360	 -1.8595	 +1.5355
 -6.9182	 +5.5632	 +9.1872	 -1.0606	 -1.5117	 -0.8627
-27.4498	+27.5180	+36.3168	 -1.3264	 +1.2412	 -2.1043
 +9.8523	 +5.9637	 +3.8262	 +3.0870	 -2.8231	 -4.1773
-19.1324	 +9.6969	+15.9931	 +0.0881	 +0.9321	 +2.8454
 +7.3434	 +9.8139	 +5.9123	 -2.0924	 +2.3366	 +3.5860
 -1.3208	-12.2988	 -4.4195	 -2.0105	 -3.4362	 -2.0996
-12.0402	+14.4053	 -5.7972	 +0.7283	 -2.0606	 +0.9942
-53.0032	-32.8686	+21.9974	 -0.8910	 -1.1297	 -0.0853
+11.3406	 +2.0500	 +9.3316	 -2.0030	 +0.0118	 -3.1221
 +8.3827	 -3.8285	 -1.1391	 -1.1285	 +2.9306	 +0.2668
-14.0870	-11.7848	 -7.5778	 -1.3601	 -1.4374	 +0.5406
 -0.3224	 -7.5626	-17.5754	 +0.6489	 +1.2142	 -1.1697
 -5.2505	 +6.3119	 +1.0467	 +3.0057	 +0.1672	 +1.1554
+15.6715	 +9.7812	-16.4496	 +1.1503	 +0.0216	 +1.5792
+27.6990	+26.4138	-12.3792	 +1.8200	 +1.6072	 +1.2582
-15.1842	 -2.4945	+10.6549	 +0.0669	 -0.6335	 -2.0095
 -3.8786	 -1.9676	 +1.5589	 +3.9107	 -2.5611	 -0.4555
