# Num Particles: 10000
# Num Cores: 32
# Total Energy: -2.886757e+06
# Iterations: 2821 of 10000
# Current Time: 2018-05-09 01:00:18.497499
# Elapsed Time: 2 days, 5:33:20.654152
# Avg. Step Time: 0:01:08.344791
# 
# x	y	z	vx	vy	vz
# 
 -6.0748	 +1.3022	 -0.6796	 +0.3449	 -4.7167	 -1.8144
 +5.0101	 -7.4430	 -9.3854	 -3.3868	 -2.5549	 +3.3900
 +7.7353	 -3.9489	 +7.1670	 -0.0042	 -2.5301	 +2.2632
 +0.3047	-28.2307	-37.7265	 -1.0993	 +0.6877	 -0.8288
 +1.1273	 +8.3054	-13.0796	 +0.8343	 +3.9757	 +0.7731
 +0.0958	 -6.6924	 +5.1164	 +0.8200	 +4.5089	 +0.1334
+25.1170	+49.2604	+17.5345	 -1.5657	 +0.9897	 +0.4048
+22.2252	 +9.2686	 +3.9248	 -3.4637	 -1.5658	 +0.1178
+30.7248	+33.9276	 -9.3906	 +0.9432	 +0.8930	 -0.7257
 +5.6847	-19.5240	+15.5597	 -0.5687	 +1.9710	 -0.4534
 +6.1689	+11.6215	-21.2767	 -1.4537	 -0.2608	 +2.1403
 +0.3135	 +3.1854	 +5.2791	 +1.2442	 +2.8540	 -0.1711
 +4.3811	 +1.9043	 -0.1716	 +0.6489	 +6.5088	 +1.8212
-20.7623	 -4.8461	 -2.0671	 -1.9403	 +0.3232	 -4.1355
 -0.7087	 +3.3842	 -7.6971	 +1.1084	 +0.3412	 +1.1747
 -3.7410	-13.1126	 +4.7516	 +1.3578	 -0.3537	 +0.6277
 -1.1421	-11.5277	 +2.7637	 -2.6711	 -0.7765	 -1.2377
 +1.5572	 -3.0441	 +2.0745	 -1.4588	 +5.7466	 +2.7258
 +1.1082	+10.6009	-10.7787	 -2.9481	 -1.1807	 +1.0437
+79.2966	-10.6822	+79.9030	 -1.3149	 +0.6725	 -0.2693
 -4.4165	 +8.9219	 -5.6695	 -2.4441	 -2.0323	 +0.0884
+15.0960	 -3.6918	 +2.7465	 +0.1680	 +0.6280	 -1.4612
 -1.7119	 -4.4010	+12.7325	 -2.4038	 +0.9107	 +1.1349
 +1.7154	 +2.9235	 -4.2235	 +1.4861	 +0.6141	 -0.3630
 -2.4021	 +2.3271	 -6.2566	 +4.4936	 +1.2419	 +1.4548
+21.6432	-35.6215	 -2.8498	 +2.8239	 +1.1594	 -0.0298
 -1.8009	 -3.0817	 +2.2947	 -0.3591	 +0.1918	 -1.1711
 -4.6443	 +2.0095	 -1.1960	 -4.2307	 -3.3347	 +3.3484
+13.6146	 -0.8805	 -3.6103	 -0.4159	 -3.5977	 -2.6907
-12.4585	+18.8189	 +4.4618	 -3.8230	 -1.5682	 -0.0304
 +6.2008	 +7.0565	 +5.1530	 +1.3443	 +1.6275	 +2.4830
 -9.0579	-37.1710	+17.4596	 +3.1598	 +0.0221	 -0.2230
 +2.8817	+12.9748	 -8.9013	 -0.6106	 +2.2613	 +3.3487
+12.7403	 +6.1272	 -6.2753	 -0.5571	 +2.7632	 -0.8440
 -9.3905	+16.1877	+10.6711	 -0.6311	 +2.0685	 +0.0412
 +1.4234	 +5.7641	 +4.1350	 -3.1053	 -0.1651	 -0.1329
 -3.3349	 +2.1394	 -4.2162	 -1.1577	 -0.3971	 +3.7723
 -4.4952	 +4.8487	 +3.0552	 +1.9489	 +2.8193	 -2.0954
-14.6092	-26.1700	-17.6012	 -1.1991	 -0.6927	 -1.8548
-16.6085	 +3.3156	 -1.2014	 -0.0122	 +1.3452	 -1.9891
 -3.5207	-13.7629	+12.5019	 -0.5542	 +1.1664	 -1.3923
 +6.6383	 -4.2611	 +2.9815	 -4.6203	 -0.2213	 +1.2113
+22.3684	+18.8684	 -6.7385	 -0.7294	 -0.8142	 -0.7117
 -4.6660	 -4.8470	 -0.2308	 -0.2648	 -2.8531	 -0.2895
-12.1454	-39.2145	 -0.3044	 -0.3345	 +0.9640	 -0.8751
-12.0278	 -0.6551	 +7.7226	 -0.5796	 -2.7313	 -0.1380
 +1.4450	 +3.0350	 -6.8814	 +2.3657	 +2.9970	 -0.7050
 +3.2482	 -0.5088	 -5.1911	 -7.3467	 +0.9962	 +2.0272
-10.0272	 -3.7919	 -2.1931	 +0.9030	 +1.9203	 +0.8804
 +9.1532	+12.2023	 +0.6942	 -0.6229	 +1.3830	 -1.8067
-80.9136	-55.3528	-39.9477	 -1.2697	 +0.4707	 +0.1950
 -3.0794	 -1.5001	 -4.1110	 +0.2279	 -4.7655	 +2.6031
 -5.5727	 -7.7075	+11.3913	 -4.1695	 +0.3677	 +1.4892
+10.4719	 -1.0805	 -8.9754	 +0.7596	 +0.9938	 +1.1062
-35.7727	+35.1009	+14.1424	 -0.4896	 +0.4102	 -2.7962
 +3.8290	-16.6463	-23.4373	 -2.1800	 -1.1496	 -1.2095
 -9.2394	+12.2763	+29.6242	 +1.7508	 -0.2609	 +0.2420
-13.9199	 +6.6508	+13.4600	 -1.2143	 -2.1508	 -1.5751
-10.5122	-16.7623	-11.4311	 +0.0402	 +1.7709	 +0.4244
+14.2798	-13.4932	 +2.8399	 +1.7890	 -0.8903	 -0.0860
-58.1341	-41.0690	+20.1054	 -0.2861	 -0.7218	 -0.3226
-19.2606	 -2.7471	-14.4484	 -1.3249	 -0.3452	 -0.1622
 -9.4479	 +0.4307	 -0.7617	 +2.7259	 -2.2024	 -0.2437
 -4.0219	 -4.3383	 +2.4332	 +4.3955	 +4.2421	 +0.6674
 +0.4177	 +4.1539	 +8.5533	 -1.3819	 -1.4096	 +4.6531
 -2.8221	 -3.0239	 -3.8671	 -3.3600	 +2.7743	 +1.1166
 -0.7140	 -1.5814	 +6.7739	 -5.7772	 -2.5006	 +0.9552
+37.9674	+35.1294	 +0.3606	 +0.5824	 +0.4398	 +1.4983
+14.9852	 +4.4051	 -6.3810	 +2.5161	 +1.0076	 +0.9263
 +1.6939	 +4.6503	 -3.7538	 -4.5945	 +0.0485	 +1.5681
 +3.1602	 +2.2050	 -0.4825	 -0.5768	 +3.5013	 +0.0287
 -8.7608	+11.0756	+12.3425	 +1.8753	 +1.0294	 -0.1156
 -1.1428	 +6.1759	 +7.7495	 -2.3428	 +0.4970	 -1.1403
+10.8514	+28.9326	-43.9783	 +0.7897	 -0.0654	 +2.9140
-17.7750	+22.1373	-31.2307	 +0.1673	 -0.1193	 -2.4462
+10.0458	 -4.4153	 -3.6964	 -2.4739	 -0.5503	 +3.5764
 +7.1847	 -1.4498	 +3.4235	 -4.0248	 +1.5989	 +1.8759
 +2.8019	-14.6884	 -2.0342	 -0.6031	 +1.3382	 +4.8547
 -6.3131	 +1.6274	 +3.4066	 +2.1681	 +1.5673	 -2.9297
 +9.4439	-11.7116	+11.1261	 +1.0409	 -1.6733	 +3.2301
 -2.3927	 -1.4634	 -3.3838	 +0.4224	 +0.6954	 -0.8472
-37.2185	-32.4349	+25.1325	 -1.2448	 +0.1438	 -1.0288
 +5.8724	 +1.4094	 +2.4556	 -0.3679	 -1.1333	 +2.4354
 +9.2822	-21.1560	-10.0279	 -0.7174	 +1.8172	 +0.9763
 +0.4559	 -4.0170	 +5.2773	 -2.7966	 +1.3367	 -4.0327
+11.5677	+10.5728	 +4.2377	 -1.4985	 -1.9813	 -1.2087
 +5.4894	 -8.1407	-12.4226	 +1.1046	 +2.5296	 +1.3225
+15.0213	 +7.0927	 -7.4196	 -1.2394	 -2.0817	 -0.6115
-10.5755	 +6.5218	-17.8636	 +0.6810	 -2.7197	 +2.4553
-10.1477	 +2.2580	 -8.9379	 -1.8173	 -0.8305	 -1.6495
 +2.1206	 -3.4070	 +6.7642	 -0.5988	 -1.6401	 +3.3009
 -3.4036	 +1.0853	 -6.4913	 +0.8317	 -0.7074	 -1.4326
-12.0637	-12.9566	 +6.1440	 +2.4442	 +3.7662	 +2.6215
 +1.2950	 +2.4502	 -3.7767	 -1.4734	 +4.9449	 +0.2609
 -3.6246	 -3.9152	 +1.5715	 -1.0674	 +0.3449	 +5.8067
+17.2810	+12.6699	 +0.0439	 -1.4004	 +1.8941	 -1.1881
 -9.0207	-20.4301	-17.7010	 -1.3459	 +0.7261	 -3.0874
-17.0026	 +7.7265	 +6.4864	 +3.0249	 -0.8497	 +0.7012
 +3.0751	-18.1027	 -3.4307	 -4.4200	 +0.6085	 +1.4044
 -3.0683	+15.1699	 +7.9784	 -0.5881	 -3.3288	 -2.9790
 -0.2563	 -1.5044	 +0.2467	 +5.2279	 +4.7207	 -1.8723
 -3.1117	 +3.8392	-22.8540	 +1.0145	 +0.2231	 +1.0319
 +4.7429	 +1.4868	 -2.5595	 -0.9983	 -2.1153	 -3.2086
+10.2156	 +0.3976	 -3.0669	 -2.8484	 -1.8800	 -0.8312
 -5.2400	 -1.0571	 +5.0033	 -1.3868	 +1.9428	 +1.2848
 -2.1646	 -4.7062	 +5.2336	 +2.0242	 +0.6663	 -1.5165
-18.0055	 +5.5940	+48.8650	 +0.7123	 +1.0116	 -0.9311
 -8.3434	-20.5357	 +1.0760	 -1.6693	 +0.8830	 +2.6930
-18.4239	+29.6310	 +5.1969	 +1.3785	 +0.8304	 +1.1014
 +7.1184	 +0.1085	-10.1750	 +0.5673	 -0.0342	 +0.3963
 +6.4733	 +2.0704	 -2.2799	 -4.8527	 -1.4654	 -0.2518
+482.2648	+382.4090	-205.3138	 +0.1895	 -0.1886	 +0.7496
-128.4881	+80.5524	+190.9514	 +0.3574	 -0.6731	 -0.4304
 +4.1484	 +6.3580	 -2.0441	 -4.5219	 -3.1660	 -1.9267
+25.7109	-12.8173	 -4.8778	 +0.4785	 +0.3835	 +1.8275
 +7.6714	 -4.4995	 +2.8917	 +2.2086	 +0.9780	 +2.9647
 +5.3674	 -2.8230	 -2.0164	 -1.3891	 -0.1102	 +0.3259
-70.7067	-67.7924	 +1.0140	 +0.6728	 -1.4229	 +0.3642
 +4.8303	 -5.0883	 +8.0527	 -0.6836	 +0.3986	 +0.2333
-17.9207	 -9.9779	-46.7579	 -2.3800	 +0.9388	 +1.5838
 -9.2177	 -6.4943	-13.5222	 +2.5747	 -3.1165	 -0.7820
 +2.0460	 -1.5948	 +5.2605	 +0.7492	 -0.8244	 +2.2860
 -4.0539	 +1.3871	 -3.8319	 -0.2092	 +3.1813	 +1.2338
 -0.9448	 -5.1526	 -7.7280	 -1.5909	 +0.6963	 -2.5170
+31.3441	-11.7147	+14.5978	 -1.6189	 +0.6361	 -1.3686
 -6.4922	 -3.8256	 -2.8502	 -2.1191	 -3.9825	 +0.0555
 +8.3435	-12.4238	 -3.1846	 +3.3654	 +1.5964	 +0.0749
 -4.7902	 +5.5466	 +4.3300	 +0.6880	 +1.0027	 -0.6261
 -3.5197	 -6.3278	 +2.5387	 +1.3001	 +1.1570	 +1.0542
 +7.7323	-11.8734	 -4.5838	 -2.5445	 -0.7480	 -3.7394
+15.0578	+30.3268	-129.3647	 -0.0539	 -0.1574	 +1.4134
 -5.2855	 -2.3176	 +0.3718	 +4.4041	 +0.8525	 +0.9098
 -5.9765	 +0.3795	 +2.7931	 +0.2623	 -5.6177	 +0.3269
 +1.1070	 -0.5036	 +6.6086	 +0.8627	 +3.3626	 +0.7845
 -0.0223	 -2.7462	 -0.4958	 +1.0356	 -1.4795	 -2.5690
