# Num Particles: 10000
# Num Cores: 32
# Total Energy: -2.893084e+06
# Iterations: 31 of 10000
# Current Time: 2018-05-06 20:06:36.389128
# Elapsed Time: 0:39:38.545793
# Avg. Step Time: 0:01:16.727284
# 
# x	y	z	vx	vy	vz
# 
 -3.5452	 -4.9006	 -1.3494	 +4.7072	 -1.1636	 +0.0622
 +3.4429	-20.6969	-10.7877	 -1.8642	 -0.4382	 +1.8511
 -0.0072	 -3.3072	 +7.8182	 -3.6285	 -1.3090	 +1.1114
-19.8973	+25.6525	 +0.1849	 +2.1775	 -1.2548	 +1.8974
 -4.0196	-16.7945	 -6.3118	 +0.3613	 +1.0152	 -3.0669
 -3.4173	 -0.3119	-15.1029	 -0.1536	 -2.0042	 -1.1487
+17.8614	-13.8545	 -6.4817	 +4.1585	 +2.2544	 +0.7969
+15.4181	 +8.2209	 -4.8049	 +4.4999	 +2.1316	 -0.1937
-26.0428	-36.0966	 -9.7941	 +0.2318	 +0.5616	 +0.4923
 -9.8584	+22.8267	 +2.5719	 -0.4275	 +1.7344	 -0.7300
-23.3566	+10.0880	+19.0563	 +0.1288	 -0.7757	 +0.7231
 -1.7112	 -4.8226	 +3.0375	 -0.4157	 +0.7209	 +2.9888
 +8.5623	 -2.5461	 -1.1631	 +5.4700	 +1.5711	 +0.6543
+28.8182	+11.5630	-24.7352	 +1.7595	 +0.1144	 +1.3954
 -2.6600	 -3.0687	 -0.2944	 -2.8565	 -0.0084	 -1.6801
+12.6537	 +4.5210	 +0.9442	 -2.1912	 +1.2635	 -0.8609
 -5.1967	 +1.5211	 -7.2351	 +2.6014	 +3.8419	 +2.2859
 -2.1669	 -1.0860	-16.0674	 +0.5752	 -1.3379	 +0.5540
+11.9498	 -6.1418	 +8.6457	 +1.9395	 +1.2820	 -1.0348
+107.4645	-27.9316	+79.6911	 -0.7299	 +0.5568	 +0.2376
 -4.7176	 -6.1642	 -0.0623	 +4.5951	 -0.9829	 +2.5390
 -2.4487	 +2.1097	 -5.1524	 -0.2440	 -1.5454	 +5.5345
 +9.0130	 -1.2978	 -9.3319	 +3.3784	 -2.4978	 +0.6545
 -0.5646	 -5.3808	 +0.8681	 -0.6280	 -0.4288	 +1.1123
 +7.9428	 +6.8270	 -6.5025	 -0.9276	 -0.3413	 +2.3047
-32.4005	+17.8347	 +2.1303	 -1.2727	 -3.2359	 -0.1263
 -0.2554	 +2.4828	 -1.4165	 +0.9458	 +0.8853	 -2.1162
+13.2773	 -6.6041	 +2.9956	 -1.1469	 +2.1078	 -1.8114
+10.9463	+13.8941	 +8.7500	 +2.6706	 -0.9374	 -1.2824
-17.5446	-20.7878	 -4.1195	 +2.1786	 -2.4158	 -0.7014
 -6.7941	 -2.9641	 -0.1749	 -3.2227	 -2.1659	 -0.1329
-54.0741	 +6.4048	 +0.1144	 -0.2950	 -2.1642	 +1.0114
 +3.0213	 -4.2752	-13.4777	 +0.7392	 +3.8287	 -1.7937
 +2.6249	-16.3566	 +6.8677	 +2.5497	 -1.2269	 -0.5502
 -8.2839	 -2.3950	+22.2213	 +0.2522	 +1.2565	 -1.1390
 +5.6429	 +2.3445	 +1.7089	 -1.5347	 +2.4343	 +3.1544
