# Num Particles: 1000
# Num Cores: 64
# Total Energy: -1.142182e+04
# Iterations: 631 of 1000
# Current Time: 2018-05-05 18:01:31.041564
# Elapsed Time: 0:32:01.071231
# Avg. Step Time: 0:00:03.044487
# 
# x	y	z	vx	vy	vz
# 
 +0.0681	+10.3658	-14.4173	 +0.0889	 +0.0183	 -1.4910
-20.0424	 -8.4556	 -8.9273	 +1.7597	 -0.6454	 +0.8572
 -5.6031	 +1.8834	 +3.6488	 -0.0277	 +0.9544	 -0.8292
 -7.7691	+54.8796	-23.2723	 -1.4682	 +0.0324	 +0.5738
 -2.9735	 -4.1099	 +1.6495	 -1.3749	 -0.6864	 -0.3608
 -9.6638	-12.1550	 +8.2041	 -1.7229	 +0.6156	 -2.3515
 +7.5710	 -5.0271	 -3.9591	 -2.5012	 -1.2890	 -0.5378
 -4.7439	 -4.3950	 +1.5462	 -1.0207	 +3.1853	 +1.7950
 +4.4874	-37.8666	-24.7176	 +0.5544	 -0.8127	 -0.4219
 -5.6454	+36.0034	 -2.7499	 -1.2555	 -2.0877	 +0.4036
-10.9337	-11.2040	 -2.7181	 -3.3718	 +0.4101	 +2.7244
 -0.6705	 -2.2685	 +0.8657	 -1.1199	 -2.9214	 +1.1642
 -7.9606	-10.5660	-13.9535	 -0.0408	 +0.4897	 +2.2788
+26.7847	 -2.5807	-13.9497	 -2.5107	 +1.4958	 -1.0852
 +4.0082	 +9.7131	 +9.4494	 -0.0027	 -1.7304	 +0.8516
+16.2513	-16.9658	-12.2058	 -1.3096	 -1.8802	 -1.3777
-18.3498	-11.0009	 +2.8927	 +0.2404	 -3.0587	 +2.3061
 -4.9250	 -3.6206	-35.6909	 -1.3491	 +1.0927	 -0.4913
 -3.0957	 +2.3395	 +4.5287	 -1.7085	 -0.8225	 +3.8319
-15.9254	-53.6441	+45.7843	 -2.2176	 +0.5446	 -1.7349
 -3.2892	 -0.4451	 +4.1735	 -4.4006	 +0.8619	 -0.4602
 +2.6330	 -9.4027	+10.0301	 +0.6184	 +2.4616	 +0.6510
 +3.3226	 +9.7059	 -0.2047	 -0.0198	 -0.8317	 -0.2668
 +1.7530	-17.5927	-13.5521	 -0.3318	 -0.4240	 +0.8587
 -8.7854	 +7.4067	-35.7959	 -0.3529	 -0.9005	 +1.3123
-25.3650	+42.3316	-40.3432	 +1.3949	 -1.2136	 +0.3576
-33.6748	+12.6307	 -8.2855	 +0.0560	 +0.5611	 -0.2558
 -0.7867	-12.9025	 +7.3211	 -3.6371	 +0.6460	 +0.7048
-28.1646	 -1.8029	 +2.0261	 +0.0246	 +2.9114	 +1.5767
 -9.7572	+22.3364	 +9.0762	 -1.6455	 +2.8217	 +1.5198
-18.7749	+12.5859	+20.3621	 -1.7062	 -0.6398	 -0.4821
+17.5926	+45.5809	+42.0485	 +1.7117	 -1.0466	 -0.7919
+25.7950	 +6.0407	 -9.5718	 +2.2883	 -0.3684	 -1.8440
 -0.9923	+42.4781	 +0.0240	 -0.6910	 -1.2459	 +1.1473
 +5.2793	-35.0909	+28.6820	 +0.8026	 -2.5504	 +1.3891
+140.1351	+589.1836	+33.6749	 +6.1561	+25.7701	 +1.8929
+11.6398	-10.3515	-11.2283	 -0.1020	 -3.5645	 -0.7374
 +4.3532	 +2.2875	 +6.8763	 +1.0332	 -0.5600	 -0.1767
+92.8029	+13.0275	+194.4967	 +2.1231	 +0.7052	 +5.2869
+17.6181	 -3.1786	 +0.2207	 -0.1214	 +0.7723	 -1.3254
 +0.3595	 -3.1271	 +8.8161	 -0.9926	 -2.8516	 -4.4420
