# Iterations: 1321 of 10000
# Total Energy: -6.440e+05
#    Kinetic Energy: 7.086e+05
#    Potential Energy: -1.353e+06
# Current Time: 2018-05-09 14:54:27.874972
# Elapsed Time: 3:17:44.237843
# 
# Med. Times for Sections
#    Force Computation:		7.227546
#        [7.1996707.1822917.2006877.2349567.2456777.2345607.2462347.2205337.2402847.208697]
#    Gather Particles:		0.000122
#        [0.0001100.0001210.0001220.0001220.0001240.0001240.0001190.0001220.0001180.000124]
#    Overall:		9.116351
#        [9.0680439.0769489.0529599.1380539.1215389.1352319.1304909.1265629.1111639.081987]
#    Scatter Particles:		0.002780
#        [0.0038630.0023830.0033320.0023280.0032680.0022690.0029320.0022900.0029160.002645]
#    Time Integration:		0.000098
#        [0.0000980.0000980.0001660.0000930.0001020.0000950.0000960.0001640.0001010.000094]
#    Tree Broadcast:		0.900454
#        [0.8937830.9020260.8875790.9042180.8979910.9026560.9025260.9080530.8988820.898548]
#    Tree Construction:		0.976418
#        [0.9704460.9899740.9610120.9962820.9743100.9954710.9785260.9953470.9688030.971822]
# 
# x	y	z	vx	vy	vz
# 
 -5.2823	 -3.1448	 -2.3889	 +2.1766	 +0.8490	 +0.5638
-13.6044	+24.4753	 +5.3089	 -1.6097	 +0.6657	 +0.0330
 +7.1360	 +8.3727	 -3.2585	 +0.6983	 +0.2248	 +2.9605
-31.6949	 +0.9103	+11.0126	 +1.1388	 -2.5829	 +0.4014
 -7.5034	+14.3321	 +0.5365	 -2.5931	 +1.1060	 -0.5114
-12.4311	 -4.5110	 +6.7247	 -0.8913	 -0.3246	 -2.5623
 -1.4782	+11.2762	 +6.7019	 +1.9591	 +0.3753	 +1.3886
 -7.4384	-12.0052	 +5.8422	 +2.2399	 +1.2593	 -0.8368
 +3.2973	+14.8604	 +4.5834	 +0.1783	 +4.6883	 +3.1887
-27.2409	 -3.1178	 +2.4998	 +1.4948	 -2.7409	 -0.4990
 +9.9805	 -8.0057	-14.0342	 -0.4296	 -3.7297	 -2.2541
 -4.2464	 +1.8449	 +0.4468	 +1.4659	 +2.0596	 -3.2999
 +0.6122	 -3.9491	 +5.0776	 +5.0700	 -1.8901	 -0.7070
 -2.2173	+15.4300	-24.3418	 -2.8171	 -0.7953	 +2.0459
 +2.0438	 -2.5258	 -2.0615	 +2.4006	 +1.9276	 -0.8228
 -8.5360	 +6.1767	 +3.6560	 +2.5224	 +2.4393	 +0.9073
 +9.2956	 +4.9185	 +2.5481	 -1.4632	 +2.8286	 -3.5352
 +6.8458	 -5.7963	 +8.4627	 +1.7454	 -1.6166	 +0.0363
 -8.7489	+14.7608	 -4.0025	 +1.0644	 -0.2321	 +2.0006
+86.3320	-38.7113	+79.8642	 -1.6081	 -0.7538	 +0.0012
 -3.4453	 +2.3443	 +4.8495	 -2.7752	 -4.1164	 -2.8870
 -3.4951	 +7.1048	 -9.3488	 -0.1808	 -1.4129	 -3.0711
 +1.0477	 -2.3341	 -7.7998	 +2.3955	 +3.9705	 -1.9835
 +4.5435	 -7.2763	-11.5279	 +0.7585	 -1.7930	 -0.8122
 -8.8508	 -4.5203	 +0.8897	 +2.8574	 +1.9301	 -1.7409
-50.7094	+41.7907	-15.2338	 -0.6279	 +1.2169	 -1.1017
 +0.1635	 +7.9150	 -2.4771	 -0.6231	 -1.8341	 -1.5526
-14.6939	+13.5149	-17.5814	 +1.8795	 +0.4338	 -1.2519
-10.8670	-16.2830	-10.3869	 -3.5643	 +0.7508	 +0.8984
+17.0499	+28.2693	+11.6921	 +0.3583	 +2.1329	 +0.9800
+26.9073	 +1.4569	 -7.2153	 -0.4514	 +1.3535	 +1.4474
-57.4117	+30.8605	+21.1556	 +0.5287	 +1.5162	 +1.4967
 +0.4642	 +9.0754	+19.2426	 +2.2898	 +0.4188	 -0.8674
 +4.5208	+13.5949	 -8.4639	 +0.5133	 -2.2618	 +1.5329
 -1.0264	 +2.9181	-15.2121	 -0.9857	 +2.1933	 -4.7194
 +5.4046	 +1.6465	 +3.6241	 -0.4250	 +0.3166	 +1.4519
 +5.0504	 +8.7269	 -7.0875	 +1.0288	 -1.8416	 -0.0777
 -9.0145	 +5.0097	 -6.7646	 -1.8040	 +2.2794	 +3.7427
 +3.5159	-14.2795	 +1.7394	 +1.6501	 -0.2574	 +0.0636
 -1.4100	-12.7202	 +0.0342	 +1.4480	 -0.5870	 +2.3742
+22.0498	-36.2112	 +4.6976	 -0.2661	 -0.6347	 -0.8398
 +1.2114	 +0.0739	 -0.0514	 -2.4582	 +4.1844	 -3.7659
 +1.4957	-11.0300	 -1.7888	 -2.1285	 -0.4177	 -2.4473
 -4.1343	 -1.3209	 +0.4447	 -0.0986	 -3.6785	 -2.3594
 +1.1944	 -9.6477	 +7.7492	 -4.1851	 -2.9887	 +0.8682
 +3.6346	 +3.5006	 -2.9417	 -1.9125	 -0.4583	 +3.0356
 -2.7952	 -7.7452	 +3.4174	 -3.2558	 -2.9285	 -3.7308
 +9.3560	-12.0078	-14.1637	 -4.3242	 +1.0605	 -0.0131
 +4.7514	 +1.7614	 -0.5108	 +2.7889	 +0.7382	 -0.5466
 -9.2600	 -6.0406	 -5.5366	 -3.0096	 +1.6980	 -3.2068
-16.6022	-47.5058	-14.5948	 +1.6243	 +1.4046	 +2.0900
 -1.0178	 -3.5764	 -2.8790	 -0.7677	 +1.1879	 -3.1407
 -9.6113	+23.6936	+24.0526	 -2.4610	 +1.5830	 -0.8656
 -9.5558	-15.7708	-12.3303	 -1.8408	 +2.6998	 -1.1025
+10.1314	+23.4186	+68.2088	 +0.2984	 +2.0481	 +0.5918
-11.5715	 +3.3140	 -2.5533	 +5.7628	 +0.4774	 +0.3856
-23.3495	 -3.3947	 +0.4678	 -3.2153	 -1.1586	 +1.1922
 -7.7440	 +5.3609	 +2.6826	 -3.3371	 +0.8184	 -2.0829
