# Iterations: 71 of 100
# Total Energy: -6.701e+05
#    Kinetic Energy: 6.747e+05
#    Potential Energy: -1.345e+06
# Current Time: 2018-05-08 11:32:58.703144
# Elapsed Time: 0:19:12.087785
# 
# Med. Times for Sections
#    Force Computation:		13.071752
#        [13.26891913.06917613.19180313.21919812.86768712.93579813.07432913.21421012.83488712.741013]
#    Gather Particles:		1.004229
#        [0.7165970.7663271.1757581.2138940.8006950.9215511.3587160.8779301.0869061.461604]
#    Overall:		15.988358
#        [15.94817115.75875016.30402016.41569015.55533415.80096816.47037716.02854415.84323316.117939]
#    Scatter Particles:		0.002358
#        [0.0029380.0023150.0024020.0024230.0026210.0022620.0026560.0022310.0005410.002298]
#    Time Integration:		0.000077
#        [0.0000770.0000790.0000780.0000740.0000730.0000940.0000800.0000710.0000770.000072]
#    Tree Broadcast:		0.928624
#        [0.9297930.9146650.9297920.9462900.8846830.9274560.9912410.9305270.9024640.916503]
#    Tree Construction:		1.009925
#        [1.0297521.0061121.0041111.0337320.9995011.0137371.0432781.0035051.0182800.996375]
# 
# x	y	z	vx	vy	vz
# 
 -6.2960	 -4.1295	 -2.7941	 +1.3064	 +0.8146	 -0.2677
 +3.0873	-19.1922	-11.3875	 +1.1283	 +2.0574	 +1.7648
 -1.8943	 -4.9140	 +8.0841	 -1.6707	 -2.5798	 +2.1546
-24.0305	+25.4845	 -0.7848	 -2.2167	 -0.8546	 +1.1984
 -4.6865	-18.5721	 -6.2426	 +1.7875	 -1.3955	 +0.3064
 -3.2033	 +0.8046	-16.5799	 +2.7225	 +0.6648	 -0.5553
+13.8614	-15.3159	 -8.6942	 -1.3314	 -0.9057	 -0.9559
+11.2521	 +7.7575	 -6.1949	 -1.5524	 +0.1503	 -0.2058
-26.5305	-35.0786	-11.2480	 +1.9456	 +1.7187	 -0.0979
-13.8506	+22.1562	 +2.0115	 -3.1711	 -0.3087	 +0.5514
-23.6523	+11.0454	+17.3958	 +2.2115	 +0.9544	 -0.3635
 -4.7550	 -3.5538	 -0.1331	 -1.5942	 +2.3969	 -1.4234
 +3.4118	 -0.8993	 -6.0798	 -2.6938	 +3.1474	 -4.3477
+25.5748	+12.2303	-27.2425	 -1.2904	 +0.9686	 -1.1219
 -0.9898	 -4.5338	 -1.9872	 +3.2058	 -1.4480	 -1.3685
+13.1429	 +2.8704	 -1.3620	 +1.8767	 -1.7731	 -1.8720
 -8.7112	 -2.8716	 -7.3302	 -0.9285	 -4.2338	 +2.8603
 -5.2769	 -0.1926	-18.7797	 -1.5286	 +0.6889	 -1.5488
 +9.7427	 -7.5274	 +7.3400	 +0.0435	 -1.2206	 -0.8015
+104.9258	-28.7202	+78.5468	 -1.3682	 -0.8376	 +0.2018
 -6.1599	 -4.4669	 -4.4235	 +3.0453	 +2.2376	 -3.0233
 -3.6957	 -0.6515	 -7.9299	 +0.9043	 -4.4719	 +0.6130
 +5.2290	 +1.3946	 -9.4058	 -1.4772	 +2.5627	 +2.1244
