# Iterations: 100 of 100
# Total Energy: -6.700e+05
#    Kinetic Energy: 6.758e+05
#    Potential Energy: -1.346e+06
# Current Time: 2018-05-08 11:40:39.354592
# Elapsed Time: 0:26:52.739242
# 
# Med. Times for Sections
#    Force Computation:		12.646217
#        [12.48161612.54390912.56671912.73056712.63047112.64621712.66901613.78486414.050448]
#    Gather Particles:		1.438761
#        [2.2174640.9082261.6129632.0715531.4387610.7653281.5746851.0276820.933278]
#    Overall:		16.098021
#        [16.57730315.35134616.03873616.70293215.99310815.25697916.09802116.80611717.075140]
#    Scatter Particles:		0.002084
#        [0.0021660.0020840.0023180.0028310.0005710.0005230.0004910.0004910.003138]
#    Time Integration:		0.000075
#        [0.0000820.0000750.0000850.0000790.0000740.0000750.0000730.0000740.000073]
#    Tree Broadcast:		0.890791
#        [0.8761170.9040710.8883570.8907910.9143050.8861550.8855400.9227170.983963]
#    Tree Construction:		0.999787
#        [0.9997870.9929100.9682201.0070361.0088530.9586150.9681441.0702181.104157]
# 
# x	y	z	vx	vy	vz
# 
 -5.8419	 -3.8443	 -2.8691	 +1.8078	 +1.1391	 -0.2376
 +3.4082	-18.5705	-10.8622	 +1.0855	 +2.2269	 +1.8556
 -2.3764	 -5.6349	 +8.6533	 -1.6559	 -2.4039	 +1.7876
-24.6626	+25.2256	 -0.4360	 -2.1446	 -0.9276	 +1.2060
 -4.1584	-18.9393	 -6.1421	 +1.8475	 -1.1512	 +0.3794
 -2.4139	 +0.9963	-16.6903	 +2.7192	 +0.6571	 -0.2167
+13.4581	-15.5607	 -8.9609	 -1.4457	 -0.7858	 -0.8861
+10.7645	 +7.7797	 -6.2358	 -1.8015	 +0.0102	 -0.0752
-25.9612	-34.5729	-11.2743	 +1.9797	 +1.7673	 -0.0841
-14.7583	+22.0446	 +2.1670	 -3.0914	 -0.4545	 +0.5229
-22.9991	+11.3161	+17.2797	 +2.2911	 +0.9133	 -0.4346
 -5.1581	 -2.8179	 -0.5577	 -1.1862	 +2.6846	 -1.5274
 +2.5540	 +0.0085	 -7.2750	 -3.1848	 +3.1000	 -3.8922
+25.1924	+12.5082	-27.5602	 -1.3452	 +0.9484	 -1.0706
 -0.0836	 -4.8421	 -2.3499	 +3.0472	 -0.7857	 -1.1627
+13.6365	 +2.3494	 -1.9030	 +1.5390	 -1.8152	 -1.8584
 -8.9315	 -4.0714	 -6.4635	 -0.5937	 -4.0478	 +3.0995
 -5.7115	 +0.0110	-19.1885	 -1.4697	 +0.7134	 -1.2823
 +9.7180	 -7.8654	 +7.0780	 -0.2065	 -1.1093	 -0.9929
+104.5282	-28.9629	+78.6047	 -1.3737	 -0.8362	 +0.1977
 -5.2109	 -3.7715	 -5.2479	 +3.4847	 +2.5624	 -2.6493
 -3.4038	 -1.9425	 -7.6833	 +1.0818	 -4.4249	 +1.0908
 +4.7491	 +2.1333	 -8.7391	 -1.8219	 +2.5387	 +2.4806
 -4.8340	 -4.7234	 +3.8942	 -2.4081	 +1.0788	 +3.9099
 +7.7516	 +7.7374	 -8.6726	 +0.9218	 +0.4879	 +0.0469
-35.9397	+21.2343	 -0.3644	 -2.0396	 +2.2862	 -1.3066
 -4.0348	 -3.0882	 -4.7837	 -1.4961	 -4.7662	 -2.3189
 +7.7682	 -7.5088	 +4.5616	 -4.4641	 +0.0871	 +1.9694
+11.2797	+11.9271	 +5.6808	 +2.5480	 -2.7058	 -2.3271
-16.6493	-17.8856	 -4.5392	 +3.5612	 +2.3036	 +0.6083
 -2.5762	 -5.3198	 -5.7536	 +5.4020	 -2.3760	 -3.7114
-56.6491	 +9.1171	 +0.4215	 -0.8043	 +1.9966	 +1.8280
 -3.3903	 -5.8700	-11.9998	 -4.3167	 +0.0130	 +2.6667
 -0.8485	-13.9810	 +4.5004	 -0.9032	 +2.4230	 -1.4828
 -9.8755	 -3.4437	+22.3957	 +0.3632	 -0.6050	 +0.7835
 +3.7925	 +2.0692	 -0.1493	 -1.3239	 +0.2458	 +0.2147
 +2.8877	 -6.0985	 -1.8313	 -0.8325	 -4.1700	 +1.9735
 -1.0458	 -1.9780	 +5.5904	 +4.5135	 -3.2224	 +0.0904
 -3.0274	+30.5721	-11.2052	 -0.7451	 -1.7744	 +0.6900
 +3.7808	 +1.2646	 +3.6285	 -0.4334	 +4.4543	 +2.0460
+14.2403	-13.2588	+10.3156	 +1.9728	 -3.4182	 +0.3620
 -5.0149	+10.0764	-11.2332	 -0.3860	 -1.6024	 +1.5853
 -6.4322	 +0.1914	-10.0506	 -1.4442	 +4.0729	 +0.5024
 -7.1433	 +2.9033	 -1.6561	 -2.5542	 -1.8646	 -0.1272
 -4.5946	+22.4554	-20.5619	 +2.3938	 -0.1880	 +0.8884
 +1.0022	 -1.1882	 -0.5863	 -2.7420	 -1.5671	 +4.7434
 -0.9349	 +4.2864	-11.6952	 +2.3161	 +4.3362	 -0.0950
+34.8882	 -6.1579	 +0.9367	 -0.1067	 -1.2393	 -1.5792
