# Iterations: 1 of 100
# Total Energy: -6.699e+05
#    Kinetic Energy: 6.692e+05
#    Potential Energy: -1.339e+06
# Current Time: 2018-05-09 11:37:34.374502
# Elapsed Time: 0:00:12.134293
# 
# Med. Times for Sections
#    Force Computation:		1.954448
#        [1.954448]
#    Gather Particles:		0.006503
#        [0.006503]
#    Overall:		5.702884
#        [5.702884]
#    Scatter Particles:		0.007380
#        [0.007380]
#    Time Integration:		0.003086
#        [0.003086]
#    Tree Broadcast:		1.811743
#        [1.811743]
#    Tree Construction:		1.919651
#        [1.919651]
# 
# x	y	z	vx	vy	vz
# 
 -6.7828	 -4.4647	 -2.5907	 +0.0467	 +0.1776	 -0.3904
 +2.2672	-20.5022	-12.5522	 +1.2119	 +1.6894	 +1.5650
 -0.6833	 -2.9324	 +6.2281	 -1.9398	 -3.2169	 +3.2411
-22.4214	+26.0199	 -1.6154	 -2.3801	 -0.6708	 +1.1735
 -5.8774	-17.1439	 -6.5126	 +2.0549	 -2.7501	 +1.0214
 -5.0924	 +0.3375	-15.9190	 +2.6427	 +0.6641	 -1.3359
+14.6949	-14.5856	 -7.9684	 -1.0435	 -1.1824	 -1.1185
+12.1269	 +7.5206	 -5.9578	 -0.9220	 +0.5375	 -0.4816
-27.8649	-36.2428	-11.1688	 +1.8667	 +1.6073	 -0.1283
-11.5680	+22.2403	 +1.5978	 -3.3464	 +0.0836	 +0.6337
-25.1347	+10.3454	+17.5930	 +2.0223	 +1.0448	 -0.1993
 -3.3829	 -4.9598	 +0.7902	 -2.3326	 +1.5840	 -1.0916
 +4.9009	 -2.9683	 -2.6847	 -1.6487	 +2.5992	 -5.3302
+26.4316	+11.5366	-26.4149	 -1.1545	 +1.0127	 -1.2437
 -3.4081	 -3.0544	 -0.9972	 +3.5025	 -2.5255	 -1.3672
+11.5552	 +4.0563	 -0.0398	 +2.6354	 -1.5963	 -1.9176
 -7.8035	 +0.1887	 -9.0787	 -1.7562	 -4.4568	 +2.0893
 -4.1670	 -0.6484	-17.4537	 -1.6286	 +0.6055	 -2.2709
 +9.5202	 -6.5735	 +7.7264	 +0.6028	 -1.5247	 -0.3015
+105.8790	-28.1326	+78.4021	 -1.3550	 -0.8411	 +0.2117
 -7.8898	 -5.7563	 -2.1552	 +1.8265	 +1.3953	 -3.3842
 -4.1198	 +2.4736	 -8.0715	 +0.2321	 -4.2983	 -0.2616
 +6.0627	 -0.4441	-10.6724	 -1.2594	 +2.7639	 +1.4676
 -2.2020	 -5.1676	 -0.6153	 -2.7513	 -0.0922	 +5.0643
 +6.4399	 +6.9121	 -8.4305	 +1.7659	 +1.1905	 -0.5570
-33.8167	+18.9054	 +0.9273	 -2.2568	 +2.4221	 -1.3005
 -2.3635	 +2.0482	 -2.0044	 -1.8816	 -5.1811	 -3.2052
+11.7311	 -7.2691	 +2.3851	 -3.5123	 -0.5324	 +2.3700
 +8.3447	+14.1221	 +7.8838	 +3.2430	 -1.8290	 -2.0170
-19.9546	-19.9652	 -5.0983	 +3.1253	 +1.9045	 +0.5188
 -7.4013	 -2.3083	 -1.4421	 +4.0888	 -3.4130	 -4.7288
-55.7825	 +7.1306	 -1.3891	 -0.9485	 +2.0156	 +1.8289
 +0.8959	 -5.4964	-14.0320	 -4.2918	 -0.7128	 +1.4521
 +0.0003	-15.9018	 +5.7881	 -0.8125	 +1.4830	 -1.1228
-10.1433	 -2.8136	+21.3674	 +0.1737	 -0.6696	 +1.3051
