# Num Particles: 100
# Num Cores: 4
# Total Energy: 9.336271e+02
# Iterations: 921 of 1000
# Current Time: 2018-05-07 12:02:39.590084
# Elapsed Time: 0:12:16.878281
# Avg. Step Time: 0:00:00.800085
# 
# x	y	z	vx	vy	vz
# 
 +5.6051	 +0.3882	 -2.9397	 -1.8454	 +0.7816	 +0.3875
+21.0807	 +3.9095	-23.3540	 +0.8239	 +2.9100	 -0.1954
+16.5266	-12.3784	 -2.7559	 -0.3839	 +0.4659	 -1.5670
 +2.3239	+20.3383	-26.3166	 +2.7437	 -2.0644	 -1.9692
+33.0797	 -3.9194	 +4.3248	 +2.0288	 +2.9335	 +1.8938
 +9.6331	+12.2906	+12.1206	 +1.7921	 +1.1162	 +1.8596
+30.0697	 -5.2835	 +4.1702	 +0.4592	 +0.5424	 +0.3709
-14.4047	 +5.7552	-14.0355	 -2.6676	 -2.1604	 +1.7045
-14.2127	-42.1940	 +1.2177	 +1.6535	 -0.0073	 +1.1067
-25.8491	+11.4698	-10.3716	 -0.2601	 -2.4245	 -1.3492
 -1.7922	+12.1793	+14.0552	 +3.7456	 -0.8420	 -3.3229
 +3.0293	 +5.0395	 +4.8980	 -1.3494	+17.5611	 -3.6971
-64.8666	 -3.0392	-19.8535	 -7.4054	 -0.0512	 -2.7129
+41.1867	 +4.2716	-12.9044	 +0.6294	 -1.1061	 +1.5857
-16.4519	-26.2114	+32.2597	 -4.8693	-11.6730	+14.7449
+16.0619	+13.6728	+15.2104	 -1.6759	 -0.1916	 +0.5898
-20.4908	 +0.2909	-18.2236	 +0.3214	 +0.0612	 +0.5207
 +6.8976	+16.9493	+24.9853	 +1.8241	 +2.0401	 +2.1765
-11.2492	 +4.0708	-17.2374	 -0.4110	 -1.0093	 -2.5283
+96.7243	-29.8868	+72.5364	 -1.2616	 -0.3068	 -0.9768
 +1.2288	 +1.2710	 +5.9757	 -2.6102	 -0.4581	 +0.7686
 +4.1735	 -4.9242	 -5.7384	 -1.0660	 +1.3039	 -1.6971
 -9.3293	 +3.4978	 -2.8893	 -1.5747	 +0.0835	 +4.1805
-10.3769	 -1.3511	 -0.3289	 +0.6925	 -2.4371	 -2.8782
 -2.8998	 +2.5036	 -1.2414	 -2.1698	 -2.9514	 +3.0757
 -3.2859	+15.2009	+15.1407	 +4.7567	 -2.3114	 +0.2033
 -7.1312	-18.9952	-13.0698	 -0.0934	 +0.5947	 -0.4069
 -1.0746	 +8.4822	 -2.2014	 -1.3890	 +3.1592	 -0.0649
+17.9179	+32.3992	+24.4304	 +0.2442	 +0.8152	 +0.8542
 -8.1554	-16.2808	 +9.5498	 +2.2183	 +2.1005	 +0.6766
 -6.7235	 -4.5595	 +1.7869	 -2.1634	 -4.0588	 +3.4190
-42.4500	 -2.4560	+12.3984	 +2.0802	 -1.1707	 +1.0430
+13.9546	 -4.4459	+27.4776	 -0.3189	 +0.7725	 +2.9880
 -0.7099	+11.9471	 -2.0600	 -2.2491	 +1.1379	 +2.5975
 -9.8871	 -7.3773	 +2.7828	 +1.9697	 +0.8513	 -3.9432
 -3.0984	 -3.0116	 -8.7321	 +1.4191	 +0.9811	 +0.3865
 -2.7566	 -7.8344	-32.7523	 -1.3745	 -0.3381	 -1.4121
 +9.5924	 +2.0362	-13.8738	 +1.2988	 +1.7095	 +0.4364
 -2.0635	+11.1816	+13.5116	 +0.2250	 -4.2066	 +1.9831
 -8.6099	 -1.1556	 -8.5233	 -1.1780	 -1.2917	 -0.3151
+22.6264	-22.8926	+14.6208	 -0.0898	 -0.6296	 -0.4517
 -3.0343	 -8.0896	 +6.8681	 +1.6928	 -2.4779	 +0.0712
 -2.4145	+15.2464	+11.5935	 -2.8070	 +0.4719	 -0.5993
 -0.3333	 +2.5189	 -0.9959	 -1.3726	 +3.2816	 +1.7307
-10.1497	+12.5805	-11.9064	 +0.1805	 -2.9108	 +2.0850
 -2.4844	 -0.1777	 -2.6444	 +4.7743	 +3.4055	 -3.7782
 -1.5465	 -4.6694	 +8.2388	 -1.0968	 -0.7758	 +1.3256
-15.5130	 +2.8013	 -1.3842	 -6.1734	 -0.7421	 -0.5555
 -7.3434	 +9.2440	 -5.4985	 -3.2415	 +1.3369	 +1.3754
 -4.0631	 -0.6120	 -0.2593	 -0.1442	 -0.8711	 -1.7235
-43.9218	-55.0882	-47.8912	 -1.0547	 +0.2867	 -1.1036
 -9.5532	 +2.1750	-12.9549	 -2.2116	 -0.6524	 -1.2720
 -7.0593	-11.0959	 -0.4752	 -2.9916	 +1.7521	 -2.0236
 +7.1434	+10.6671	 -1.4971	 -1.4760	 -2.8762	 -0.4286
+10.6854	 +4.7896	+48.8456	 +0.3262	 +0.9457	 -1.3677
 +4.4193	+16.4208	-16.4034	 +4.0814	 +0.7257	 -0.6545
 -5.4281	+11.7404	+10.0131	 -4.5202	 +2.6028	 +0.0171
 +8.9683	-14.3994	 -3.5283	 +0.4557	 -1.8442	 +0.6739
+10.4014	+31.6788	-31.4921	 +5.2637	+10.4858	 -9.8284
 -4.6309	 +4.6815	 -1.9405	 +3.7395	 +2.4489	 -4.5539
 +3.7812	 -9.8472	+23.8146	 +2.0178	 -0.7201	 -0.6895
 +9.5687	-17.3458	 +2.9748	 +0.8721	 -0.0647	 +3.5973
 +5.2576	 +7.2976	 -4.6590	 +1.5927	 -0.8423	 +0.6886
 -7.8156	 +4.8265	-10.0257	 +1.6424	 +1.1173	 +2.5866
 +6.3381	 +7.7788	 +6.1420	 +1.9816	 -0.1023	 -2.5935
+10.4745	+26.2959	+15.2576	 -0.1528	 +2.6815	 +0.4911
 -5.4713	 -8.2282	 +7.3302	 -1.1343	 +0.7740	 -4.4142
 +5.3796	 -2.7045	-15.2300	 +2.3912	 +3.0252	 -4.0762
 +2.5926	 +8.6067	+11.5674	 -1.0213	 -0.4408	 +1.0512
 -2.4121	-20.8440	 -5.9293	 -0.6386	 -0.5936	 -0.4810
 -9.1158	 +4.0684	 +0.4177	 +1.6067	 -0.7455	 +0.2220
 +0.1525	 +7.0205	 +3.2695	 +1.9956	 +3.4441	 +0.2213
 -9.7214	+14.7183	+37.1641	 +0.7049	 +0.1955	 +2.5315
-11.4609	+18.2705	-93.0767	 +0.3853	 +0.1381	 -0.0066
+47.1597	-39.5019	-19.7281	 +1.6549	 -0.9683	 -0.6789
 -7.9160	 -4.3196	 -0.1896	 +3.6429	 -1.1333	 +2.2300
 +3.8901	 -8.8613	 +7.4887	 +0.9779	-16.2653	 +2.7807
+13.1762	 -9.1756	 -1.6226	 +0.1509	 +1.0819	 -3.3043
 -5.5559	-14.2186	 +5.1246	 -2.1744	 +0.7144	 +1.8359
 +7.4727	-29.0329	 -5.6538	 -2.2805	 -0.1627	 +0.0856
 -8.9765	-14.0894	-12.6391	 +0.9026	 +0.1549	 -0.2036
+12.8470	 -1.4846	+19.6228	 -1.9170	 -1.7079	 +2.0126
 +4.3139	 +8.0943	 -2.5170	 +0.2532	 +0.5240	 -1.6259
 -6.0297	 -1.6964	 -1.5235	 -0.7368	 +0.3583	 -1.2271
 +1.2515	 +4.3327	 +9.4662	 -0.8298	 -0.8621	 -2.3520
+17.2735	 +7.0235	+33.3099	 +0.5672	 -1.2628	 +1.0461
-31.4289	 +0.5751	 +5.3323	 -0.1679	 +0.6431	 -0.4208
-16.8063	 -6.6213	 +4.8037	 -3.9688	 -4.2630	 -0.0657
+18.5527	-14.3670	+20.0016	 +2.0268	 +2.4004	 -0.1596
-20.3927	+15.6635	-20.6449	 -1.2167	 +1.7376	 -1.3096
-12.1986	 +6.4352	 -5.8489	 +3.2405	 -0.5170	 +0.7438
 +2.5271	 +3.2244	 +3.8300	 -0.9902	 +1.1366	 +3.1839
 -2.2538	-27.5236	-60.4558	 +1.0893	 -0.1028	 -1.2100
-14.4291	-12.9975	 -6.7829	 -0.6043	 -0.8210	 -1.4091
-10.9084	 -7.1550	+16.6590	 -1.0554	 -2.3845	 -1.0747
 +6.2982	+25.4975	 +1.8738	 -1.2758	 +1.3169	 -1.1941
 +3.4015	+34.1916	 -1.7299	 +0.9192	 -1.3090	 +2.0613
 -0.6469	+11.8759	 +6.4498	 +0.5427	 -0.4501	 -3.3554
 +2.6507	+21.4880	 +4.8710	 +1.8320	 -1.7190	 +0.0632
+11.1203	 +0.8758	 +0.3087	 +1.2441	 +1.0704	 +4.9831
