# Num Particles: 1000
# Num Cores: 1
# Total Energy: -2.280867e+04
# Iterations: 421 of 1000
# Current Time: 2018-05-05 23:43:07.521774
# Elapsed Time: 6:29:11.761242
# Avg. Step Time: 0:00:55.467366
# 
# x	y	z	vx	vy	vz
# 
 +4.3960	 +2.5462	 -0.1836	 +2.7263	 +1.0116	 +0.6979
 +5.2583	 -7.0556	 -3.2729	 -0.3418	 +5.2422	 +2.8977
 -7.2621	 -9.5698	 +7.5144	 -1.0240	 +0.0152	 -1.9161
-30.2555	+21.0751	 +3.4171	 -1.3462	 -1.6189	 +1.1756
 +1.6765	-18.8617	 -4.1363	 +1.6857	 +1.2711	 +0.8536
 +5.2123	 +2.1857	-11.1388	 +1.5705	 -0.0283	 +3.6348
 +6.8759	-15.4863	-10.4734	 -2.5570	 +1.0579	 -0.0514
 +0.0653	 +3.6734	 -3.7063	 -5.1791	 -3.4275	 +1.7479
-18.9169	-27.8837	-11.2326	 +2.4369	 +2.4550	 +0.1366
-23.1971	+18.6081	 +3.4094	 -2.1111	 -1.5916	 +0.2322
-14.1933	+13.2823	+14.3975	 +3.1999	 +0.2350	 -1.4406
 -0.5802	 +4.2198	 -5.4353	 +2.7031	 +0.5355	 -0.7807
 -8.4456	 +7.4932	-11.9517	 -2.7606	 +1.2733	 +0.5630
+19.9591	+15.1201	-30.0498	 -1.9013	 +0.6603	 -0.4705
 +3.9960	 -0.6581	 -3.8978	 -1.1540	 +2.5863	 +0.5881
+13.0538	 -3.6147	 -7.1652	 -1.8790	 -1.7436	 -1.2679
 -5.1608	-12.3739	 +4.9663	 +2.2912	 -0.8730	 +3.1979
 -9.1295	 +2.3033	-19.0967	 -0.6237	 +0.6141	 +1.2815
 +5.1686	 -8.1112	 +0.4105	 -2.5977	 +1.2422	 -3.1968
+100.0210	-31.6190	+79.1638	 -1.4345	 -0.8184	 +0.1503
 +6.3364	 +6.0642	 -5.7305	 +2.1716	 +2.7220	 +2.1223
 +0.0186	-10.3687	 +0.9187	 +0.8110	 -0.3238	 +2.8500
 -4.1682	 +4.6268	 +2.8466	 -2.7149	 -1.6160	 +3.1519
 -8.6717	 +0.4830	+10.9011	 -0.0985	 +1.6028	 +0.5411
 +6.0825	 +5.5178	 -5.3811	 -2.4212	 -1.8262	 +1.8001
-41.5597	+27.9529	 -4.5190	 -1.5000	 +1.9169	 -1.2735
 -4.6607	-11.3236	 -6.3668	 +0.7248	 -0.5182	 +0.6620
 -9.3169	 -3.1115	 +4.7706	 -4.7124	 +2.6998	 -2.2885
+15.5810	 +1.2324	 -2.2880	 -0.0327	 -3.7288	 -2.5877
 -2.4612	 -6.5302	 -2.5680	 +5.4133	 +5.2508	 +0.9384
+12.5181	 -7.8149	-12.4576	 +3.8263	 +0.2700	 -0.7885
-58.5289	+15.3872	 +6.2466	 -0.3788	 +1.9068	 +1.7954
-12.6664	 -2.5453	 +2.5929	 -0.8707	 +1.6866	 +5.0596
 -4.1533	 +0.0154	 -3.4966	 -0.2444	 +5.6818	 -3.4158
 -7.8044	 -5.0173	+22.3264	 +0.9095	 -0.3511	 -0.8352
 -6.6632	 -0.2340	 -1.7177	 -3.2132	 -0.8563	 -1.9963
 -2.3010	-10.8913	 +2.9611	 -1.9478	 +0.7723	 +0.7733
 +9.9000	 -8.2689	 -0.8890	 +1.7388	 -0.8217	 -3.2636
 -5.2328	+22.7387	 -8.4096	 -0.5532	 -3.2502	 +1.0517
 -0.3560	+10.4045	 +3.7250	 -1.1626	 +0.9050	 -1.6191
+18.9731	-22.6553	+10.2888	 +1.0648	 -2.4972	 -0.2785
 -2.6347	 +0.1127	 -2.3079	 +1.8861	 -4.5826	 +3.7481
 -6.0857	+10.1454	 -3.7485	 +1.3113	 +1.4313	 +2.8789
 -7.0155	 -4.3454	 -4.8125	 +2.1724	 -1.6181	 -0.4401
 +3.1090	+19.9769	-16.2279	 +2.3330	 -1.4153	 +1.8384
 -7.9656	 -2.4646	 +6.0704	 -1.6757	 -0.2987	 -0.4144
 +5.3610	+13.6571	 -6.7876	 +1.4247	 +1.4146	 +2.4426
+32.9789	 -9.7874	 -4.1447	 -1.0900	 -1.0050	 -1.5702
 +2.3931	 +3.2511	 -4.5395	 -0.8162	 -2.4402	 -0.6659
 +6.1782	 +9.3072	 +1.4144	 +2.5478	 -0.5244	 +1.6868
-29.4562	-55.6277	-31.8075	 +1.2517	 +0.5026	 +1.7329
 -5.1951	 -4.6779	-10.2791	 +0.2331	 +2.1889	 -0.6422
+12.1830	 +1.7638	+19.1958	 -1.8610	 +3.0537	 +2.3338
 +7.2870	 -6.7309	 +6.5974	 -0.4756	 -4.6901	 -1.3989
 +6.9172	 +4.1534	+59.4790	 +0.4199	 +2.2108	 +1.4047
-31.4406	 -4.5243	 -4.6633	 -0.1157	 +0.8125	 +0.0384
+24.2049	 -0.9556	 +0.0171	 -2.9630	 +1.1448	 -1.2786
 -0.8660	 -3.4891	 -8.7630	 +2.8593	 -2.5400	 -1.9146
 +4.9791	 +8.3684	 +6.8253	 -0.2770	 +3.5853	 -0.1582
-12.4294	-12.6822	 +6.9789	 -3.2560	 +3.5171	 -1.0241
-26.3301	 +4.3133	 +0.4852	 -1.6275	 +0.6095	 -2.4831
 -8.1867	+17.7451	-23.1798	 +0.3376	 +3.0017	 +0.1941
 +1.4322	 +8.3510	 -2.4715	 -1.1746	 +3.4338	 +0.7979
 -0.4047	 -6.7284	 +7.8464	 +1.4514	 +2.3584	 +2.9143
 -4.1647	 -0.4281	 +5.5228	 +0.6810	 +0.5906	 -1.0411
-12.2455	-10.5894	-11.4089	 -0.1397	 -0.4926	 +0.9972
 +5.9391	 +2.2681	+17.1901	 -0.2871	 +0.9268	 -2.4906
-22.9109	-19.4833	+27.4332	 -1.9105	 -1.5385	 -0.4171
 -1.0704	 -7.8511	-10.2069	 +0.5132	 +1.1305	 +4.4339
 +0.3803	 -3.8622	 +7.3686	 +1.7784	 -4.2504	 +0.1630
 -3.6582	 -0.6464	 -2.6866	 +0.9853	 +3.7428	 +1.5293
 -0.4979	 -2.7301	 +0.7014	 +4.1371	 +5.1051	 +2.0313
