# Iterations: 21 of 100
# Total Energy: -6.642e+05
#    Kinetic Energy: 6.591e+05
#    Potential Energy: -1.323e+06
# Current Time: 2018-05-08 21:25:27.337969
# Elapsed Time: 10:11:58.266126
# 
# Med. Times for Sections
#    Force Computation:		1612.789677
#        [1604.5498241618.0120671619.2020231603.3645221618.6351221617.6709431595.2785761605.4404331622.8854881607.908411]
#    Gather Particles:		0.000325
#        [0.0003090.0003350.0003470.0003240.0003460.0003400.0003020.0002940.0003260.000315]
#    Overall:		1665.619993
#        [1656.4361261670.7118181672.4207331657.9192111673.1424341671.9209161648.1582431656.3859831674.8329201660.528169]
#    Scatter Particles:		0.017487
#        [0.0175430.0196260.0231010.0174310.0177590.0181640.0166830.0162940.0161320.016656]
#    Time Integration:		0.000713
#        [0.0007100.0008010.0008990.0007150.0008200.0007760.0007060.0006430.0006970.000679]
#    Tree Broadcast:		15.187440
#        [15.14614315.84858715.65757915.14025015.85564615.69884915.21329514.57810214.62303415.161585]
#    Tree Construction:		37.419647
#        [36.65333836.75618837.46524139.32312838.56196638.46202937.58118336.28462237.23982637.374054]
# 
# x	y	z	vx	vy	vz
# 
 -5.7175	 -4.9622	 -1.4606	 +0.6086	 -0.5664	 -3.0438
 +3.0938	-20.7036	-11.0449	 -0.4928	 +0.8899	 -1.1003
 +0.5222	 -3.8551	 +8.4612	 +0.9311	 -2.8314	 +2.1487
-21.5021	+25.8540	 -0.1932	 -0.3640	 +0.7498	 -1.5504
 -5.6057	-18.2541	 -4.8920	 -2.9006	 -3.6354	 -0.5727
 -4.6155	 +0.1203	-13.6135	 -1.9248	 +0.6564	 +2.3680
+15.4705	-14.7806	 -5.6517	 -0.9662	 +0.6450	 +2.3238
+13.2746	 +7.6171	 -4.7382	 +0.6913	 +2.0307	 -2.5874
-27.0761	-35.8530	 -9.5759	 -0.5816	 +3.5285	 -0.8888
-10.6521	+22.1933	 +3.2391	 -0.4656	 +1.3318	 -0.6127
-23.9827	+10.4266	+19.2832	 +1.1008	 +2.0458	 -0.4815
 -2.3994	 -6.1670	 +2.4134	 -0.0473	 -3.5977	 -0.9311
 +5.6658	 -3.2571	 -0.3410	 -1.1741	 +0.5944	 +2.0644
+27.6345	+11.0396	-24.7354	 +0.9941	 -0.5806	 -0.5835
 -1.7847	 -2.5810	 +0.3241	 +3.3868	 +3.6165	 -2.2767
+12.3724	 +3.7592	 +2.0502	 -0.5368	 +0.0806	 +1.1890
 -7.5558	 -0.5955	 -7.2991	 -3.2802	 -2.3827	 +0.2750
 -2.5494	 -0.8962	-15.0934	 +2.8699	 +0.5265	 +2.5172
+10.2574	 -6.9856	 +9.2506	 -1.0165	 -0.3769	 -1.2902
+106.6816	-28.6220	+80.3793	 -0.8259	 -0.7065	 +0.8829
 -6.0297	 -6.1598	 -0.3815	 +4.3835	 +0.0075	 -0.3504
 -2.5903	 +2.3677	 -6.5714	 +2.6818	 +0.6427	 -1.1628
 +6.3212	 -1.0664	 -8.9164	 -3.3880	 -0.9702	 +0.0982
 -1.1088	 -4.7516	 +0.6543	 +0.3490	 +3.6983	 -1.9306
 +6.8248	 +6.7874	 -7.1669	 -2.5276	 +1.0597	 -2.3532
-32.5347	+18.1378	 +2.5594	 +1.2999	 -1.6900	 -0.8236
 -1.8774	 +1.3479	 +0.0069	 -2.2307	 -2.1357	 +0.7240
+12.6108	 -8.1179	 +3.9562	 -0.7671	 -2.2568	 -0.7909
+10.0057	+13.4604	 +9.7846	 +3.4577	 -1.6255	 +0.2781
-19.1221	-20.5123	 -2.5924	 -0.2465	 -0.6820	 +3.3210
 -6.8843	 -2.2712	 +0.9094	 -1.4753	 +1.4965	 +2.1291
-54.9377	 +6.9918	 +0.3948	 -0.5801	 +1.1444	 +0.1531
 +1.0279	 -5.6337	-11.3915	 -4.1607	 +0.9658	 +4.1353
 +1.0613	-15.9227	 +7.7946	 +0.3937	 +1.7192	 +0.8562
 -8.4122	 -2.9311	+22.5847	 +3.5555	 +1.0065	 -2.5299
 +5.7390	 +0.9566	 +1.2911	 +2.2202	 -0.9970	 +0.1699
 +4.2910	 -2.3578	 -1.5703	 +0.4184	 -3.6495	 +1.3212
 -3.4533	 +0.7489	 +5.8288	 +4.8351	 -1.3864	 -1.1258
 -1.5147	+31.7533	-10.1148	 -0.9224	 -0.4255	 -0.2130
 +5.1277	 -3.4666	 +2.7767	 +3.4801	 +0.6549	 -0.7648
+12.3248	-10.4612	+11.7965	 -3.1087	 -2.2137	 +1.0931
 -3.8345	+10.9426	-11.0430	 -0.7761	 +0.1007	 -0.8135
 -2.7132	 -3.9643	 -8.4544	 +3.8432	 +0.9979	 -1.1900
 -2.0028	 +4.1862	 +0.0499	 +2.6931	 +2.2371	 -3.5664
 -6.7128	+21.7223	-19.3285	 -3.1011	 -1.8961	 +0.9896
 +4.2451	 +0.5623	 -3.4722	 +1.9499	 +3.0403	 +1.3157
 -1.8125	 -1.3618	 -8.7906	 +2.7899	 -2.9535	 +1.4659
+35.9535	 -5.6544	 +3.9444	 +0.6892	 -1.9340	 -1.6910
 -3.5423	 +4.2530	 +2.7770	 -2.6009	 +1.8744	 +2.0015
 -5.8223	 -1.2055	 -2.4086	 +0.7783	 +2.4208	 +1.4124
-33.6004	-57.3130	-36.8879	 -0.5413	 +0.9294	 +0.4862
 +0.3270	 -3.4536	 +2.7475	 +1.7139	 +4.2873	 -1.9097
+17.4134	-10.4567	 +6.8431	 -0.2952	 +1.8157	 -1.6116
 +2.7927	+13.4822	 +6.0085	 -2.1656	 +2.1169	 +0.2310
 +5.9253	 -5.0888	+54.5094	 -0.2124	 +2.1253	 +1.1100
-26.1350	 -7.6285	 -2.9839	 -0.1676	 -1.3338	 -2.2014
+33.5605	 -5.5766	 +6.7910	 +0.7729	 +0.8188	 +0.5262
 -4.1953	 +5.4631	 +7.1215	 -1.6047	 -3.3722	 -2.6883
 -0.8861	 -6.3786	 -1.5171	 +2.6247	 +3.7246	 +1.8991
