# Iterations: 1 of 3
# Total Energy: -6.582e+05
#    Kinetic Energy: 6.628e+05
#    Potential Energy: -1.321e+06
# Current Time: 2018-05-09 13:02:28.969921
# Elapsed Time: 0:02:54.855188
# 
# Med. Times for Sections
#    Force Computation:		78.449200
#        [78.449200, ]
#    Gather Particles:		0.000111
#        [0.000111, ]
#    Overall:		86.551727
#        [86.551727, ]
#    Scatter Particles:		0.001581
#        [0.001581, ]
#    Time Integration:		0.000254
#        [0.000254, ]
#    Tree Broadcast:		3.534604
#        [3.534604, ]
#    Tree Construction:		4.565912
#        [4.565912, ]
# 
# x	y	z	vx	vy	vz
# 
 -5.8343	 -4.3719	 -1.6818	 -6.5035	 +0.3450	 +1.7229
 +3.3338	-20.4088	-11.7127	 +0.5642	 +1.8889	 +0.2105
 +0.4844	 -2.8454	 +7.0491	 +2.4633	 -3.3359	 +0.9639
-21.3615	+26.1495	 -0.7701	 -3.3615	 +1.3382	 +0.1055
 -4.7926	-17.0099	 -5.6845	 +2.3170	 -0.5219	 -0.9034
 -4.0302	 +0.4383	-15.0150	 +1.7745	 +1.2341	 +0.5329
+15.7283	-14.4677	 -7.0753	 -3.3517	 +0.2428	 +0.2026
+13.2039	 +7.6539	 -5.0625	 -1.0472	 +2.7309	 +0.9514
-26.8193	-36.1272	-10.2885	 +0.1709	 +2.9113	 +0.5539
-10.3743	+22.3239	 +2.3804	 +2.3602	 -0.2071	 -3.5691
-24.1236	+10.4466	+18.4226	 -1.4010	 +1.6341	 -2.0486
 -2.2854	 -4.9772	 +1.6053	 -1.4337	 -3.7591	 -3.6657
 +6.0635	 -2.9212	 -1.7909	 +2.5029	 +0.4814	 -3.9685
+27.5118	+11.5942	-25.5312	 -1.1211	 -0.5746	 -0.3847
 -2.4032	 -2.9673	 -0.1436	 -0.2315	 -2.6391	 -2.0141
+12.5927	 +4.1257	 +0.9147	 +0.5330	 -2.5973	 +2.4790
 -6.5680	 +0.3623	 -8.2744	 +6.0363	 -0.2470	 -1.0229
 -3.1169	 -0.5733	-16.5337	 -3.1000	 -0.1088	 +0.3980
+10.6201	 -6.4630	 +8.5757	 +1.6183	 -0.4704	 -1.1635
+106.9740	-28.0402	+79.2936	 -0.5826	 -0.6904	 +1.4594
 -6.8279	 -5.7550	 -1.2800	 +0.9430	 -3.0127	 -2.9537
 -3.0591	 +2.6582	 -7.1828	 -0.7113	 +0.4577	 +0.8470
 +7.1446	 -0.3950	 -9.8252	 -1.1442	 +0.7491	 +0.4980
 -1.1355	 -5.1019	 +0.2624	 -3.4044	 -1.2750	 +5.6199
 +7.4905	 +6.9772	 -7.5626	 +0.3193	 -0.0271	 -0.4903
-32.7368	+18.9562	 +1.8389	 -2.2409	 +0.4907	 +0.9543
 -1.1822	 +2.1927	 -1.0443	 +3.2049	 -2.4255	 +1.4702
+12.9457	 -7.1833	 +3.1892	 +3.2385	 -0.7182	 -0.7564
 +9.3892	+14.2774	 +8.7573	 +1.4940	 +1.4675	 -1.6682
-18.9371	-19.9348	 -4.2884	 +0.0195	 -1.0455	 -2.3176
 -6.4492	 -2.0662	 -0.4889	 -2.2821	 +4.2241	 -0.4018
-54.6790	 +7.2066	 -0.5738	 +0.2480	 +1.3430	 -0.7326
 +2.0136	 -5.3805	-13.1401	 -2.3838	 +0.6082	 +2.7162
 +1.0870	-15.8565	 +6.7018	 -0.4551	 -0.7222	 +1.2331
 -9.0545	 -2.6818	+22.1772	 +0.6332	 +1.4468	 -1.5351
 +5.3625	 +1.6131	 +0.3562	 +1.4136	 +0.1361	 +1.3265
 +4.2847	 -1.1576	 -2.7379	 -0.0342	 -2.8071	 +1.6457
 -4.3533	 +1.5186	 +5.1130	 +0.9057	 +1.6626	 -0.6363
 -1.1555	+32.2564	-10.9705	 +1.6613	 -1.1454	 +0.7668
 +4.5501	 -3.1450	 +2.0710	 +4.9559	 +0.2848	 +3.1568
+13.1564	 -9.5113	+10.6294	 +1.8276	 +0.6809	 +0.1881
