# Iterations: 751 of 10000
# Total Energy: -6.511e+05
#    Kinetic Energy: 6.590e+05
#    Potential Energy: -1.310e+06
# Current Time: 2018-05-09 13:30:39.536989
# Elapsed Time: 1:53:55.899861
# 
# Med. Times for Sections
#    Force Computation:		7.940929
#        [7.9702456.7229657.9525557.9293048.2259527.8582467.4827848.0243596.7571188.371408]
#    Gather Particles:		0.000121
#        [0.0001110.0001130.0001130.0001220.0001430.0001350.0001300.0001140.0001200.000133]
#    Overall:		9.763334
#        [9.7823468.4897619.7443229.78318710.0318329.6741679.2888299.8554438.56587610.202897]
#    Scatter Particles:		0.002245
#        [0.0021930.0024020.0024990.0020510.0025410.0022970.0017960.0011980.0027270.002148]
#    Time Integration:		0.000112
#        [0.0001090.0001140.0001060.0001100.0001110.0001130.0001320.0001030.0002030.000113]
#    Tree Broadcast:		0.859941
#        [0.8555100.8369310.8518980.8862750.8604350.8476930.8608330.8691970.8594470.860886]
#    Tree Construction:		0.950161
#        [0.9541210.9271830.9370950.9652670.9425860.9656280.9430980.9604210.9462000.968157]
# 
# x	y	z	vx	vy	vz
# 
 +5.5316	 +2.0411	 -0.5011	 -1.9541	 -1.3043	 -0.4116
 -1.3910	+11.8101	 +3.2450	 -2.6145	 +4.5394	 +0.7522
 -6.8454	 -5.4122	 -2.9853	 +1.5732	 +2.6423	 -3.7951
-33.3351	+14.7550	 +6.9992	 -0.5064	 -2.1719	 +0.9637
 +5.8511	 -9.3131	 -1.1265	 +0.5287	 +4.6162	 +0.8924
 +2.9620	 +0.9575	 +4.5676	 -3.0554	 -0.8570	 +4.2179
 -2.8618	 -7.7709	 -7.9000	 -2.8125	 +3.6562	 +1.5543
-11.0293	 -8.2449	 +2.8612	 -1.3334	 -2.5713	 +1.6797
 -9.7873	-17.8272	 -9.9860	 +3.1523	 +3.8194	 +0.7112
-28.2947	+11.9585	 +3.8269	 -0.9725	 -2.3526	 +0.0026
 -2.1802	+11.7875	 +6.8746	 +3.9920	 -1.4214	 -3.3110
 +4.0098	 -1.7042	 -1.9838	 -0.5345	 -2.9121	 +2.4847
-13.9027	 +7.7241	 -6.8347	 -0.4593	 -0.9829	 +2.2141
+12.8862	+16.6589	-30.4288	 -2.3641	 +0.2587	 +0.2603
 -4.7544	 +3.4002	 -0.5358	 -2.5412	 -0.5610	 +0.9917
 +1.4800	 -7.5555	 -8.0734	 -4.9562	 -0.2127	 +1.1709
 +3.3493	-10.7089	+11.6102	 +2.5089	 +1.6287	 +0.7491
 -9.1147	 +3.6964	-10.2477	 +0.9364	 +0.0533	 +4.0675
 -5.4677	 +2.7790	 -8.7313	 -2.5235	 +4.1519	 -1.2082
+95.1828	-34.2858	+79.5752	 -1.4976	 -0.7974	 +0.0986
 +8.1009	+10.8547	 +2.3047	 -0.7428	 +0.5242	 +2.4042
 +1.1852	 -5.3119	 +6.5326	 -0.2685	 +3.1463	 +0.3805
 -9.6949	 -3.2829	 +7.0530	 -0.3517	 -2.4819	 -0.6074
 -6.4336	 +4.1940	 +7.3251	 +1.4479	 +0.4508	 -2.7031
 -7.1137	 -4.1939	 +1.6551	 -3.7779	 -2.1280	 +1.4017
-45.8344	+33.7651	 -8.6268	 -1.1113	 +1.6178	 -1.2148
 -1.8868	 -5.4615	 -1.1725	 +1.0954	 +4.1146	 +1.8479
-18.4894	 +5.6905	 -4.8812	 -1.0080	 +2.3886	 -3.1054
+10.4519	-10.3534	 -9.5865	 -2.9428	 -2.9496	 -1.5736
+11.2053	+11.0790	 +3.5448	 +2.2064	 +4.2236	 +2.1568
+22.1786	 -5.5874	-12.8342	 +2.1118	 +0.9370	 +0.3682
-59.1001	+21.4882	+12.0554	 +0.0293	 +1.7805	 +1.7102
-11.2409	 +3.0390	+14.9615	 +1.4045	 +1.5693	 +2.4608
 -1.7881	+13.4019	-10.2165	 +1.3066	 +2.3109	 -0.9306
 -4.0522	 -5.2943	+16.3014	 +1.3394	 +0.2538	 -2.9421
 -9.0104	 -1.6636	 -6.4059	 +1.5769	 -0.2361	 -0.1984
 -5.8053	 -1.0312	 +1.4533	 +0.8416	 +4.5542	 -1.8742
 +8.4918	 -7.9387	-10.5797	 -2.2309	 +1.0797	 -2.1160
 -5.9118	 +7.9867	 -3.7962	 +0.3357	 -6.1138	 +1.9185
 -3.4974	 +7.0586	 -3.3636	 -0.7962	 -3.3995	 -2.2222
+21.5258	-29.5791	 +8.8303	 +0.4938	 -1.7218	 -0.5763
 +2.3581	 -9.0184	 +7.0263	 +0.9072	 -0.9130	 +1.5068
 +0.5340	 +7.2833	 +4.3578	 +2.2850	 -2.9113	 +1.5042
 +3.5277	 -1.4513	 -3.8638	 +2.2396	 +3.1075	 +1.1685
 +9.5973	+12.4616	 -8.1155	 +1.2925	 -3.1281	 +3.2368
 -7.1413	 -2.1589	 +0.7888	 +2.4049	 +0.7527	 -2.6285
 +8.0449	+12.8447	 +2.1657	 +0.2303	 -2.1070	 +2.6261
+27.6341	-12.4618	 -9.0672	 -2.1564	 -0.5858	 -1.3826
 -7.2722	 -3.8035	 -3.8591	 -2.4316	 -0.8090	 +1.0755
 +9.2748	 +4.4047	 +4.6907	 -0.7540	 -2.4624	 +0.1324
-25.1259	-53.5511	-25.8726	 +1.3746	 +0.7648	 +1.8644
 -1.5856	 +3.8581	 -4.3247	 +1.5311	 +1.2639	 +4.3022
 +4.8289	+11.4144	+24.4100	 -2.4704	 +2.7083	 +0.8771
 +2.8061	-18.1821	 -0.6482	 -1.9544	 -2.0297	 -2.5934
 +8.2243	+11.3846	+63.5396	 +0.3728	 +2.1675	 +1.0669
-29.5144	 -1.5742	 -4.2883	 +1.3093	 +0.9694	 +0.1788
 +9.8266	 +1.3708	 -4.1933	 -5.9062	 +0.4273	 -1.0299
 +5.7175	 -7.0189	 -7.1633	 +0.8430	 +0.9122	 +2.2692
 +2.6513	+15.6949	 +2.8883	 -1.0695	 +0.5911	 -1.7445
-19.4664	 +1.2499	 +1.5909	 -0.7566	 +4.5949	 -2.0084
-28.8549	 +5.8343	 -7.6471	 +0.0349	 +0.3102	 -2.3562
 -6.4328	+26.2975	-21.1018	 +0.6829	 +2.1696	 +0.9919
 -3.0274	+12.4196	 +0.2296	 -1.1417	 -0.7796	 +0.7675
 +2.9494	 +3.3735	+10.6023	 +0.4390	 +3.0726	 -1.1520
 -0.0356	 +1.0798	 -5.2840	 +1.3765	 +0.1158	 -3.4594
 -9.0513	 -8.6777	 -5.4178	 +2.3170	 +1.8553	 +2.4608
 +2.8011	 +4.2612	 +4.2144	 -1.9012	 -0.1009	 -5.7009
-28.5255	-23.9582	+25.2142	 -1.4947	 -1.1745	 -0.9030
 +0.6149	 +4.2142	 +5.6921	 +0.2264	 +4.8865	 +2.9480
 +3.7208	-13.4135	 +2.8023	 +0.3331	 -1.3349	 -2.2997
 +2.0560	 +4.6193	 +2.0089	 +1.7765	 -0.7212	 +0.3502
 +8.3904	+11.9826	 +2.1401	 +1.5561	 +3.0594	 -0.6355
 +8.2215	 -3.4408	 +1.1425	 -0.0906	 -0.7179	 +2.5075
 -1.8049	+15.1698	-103.2316	 +1.9407	 -0.0372	 -1.1255
+19.7189	-11.7005	 -7.6319	 -2.1284	 +3.1134	 +1.2807
 -7.6062	-17.7151	 +5.1614	 +2.9716	 -2.0713	 +2.2983
 +1.6573	 -6.0550	 +1.7154	 -1.4960	 -1.7860	 +0.0230
-12.2279	 -8.1035	 -9.1167	 +1.0180	 +2.7151	 -3.3373
 +4.8582	-10.2791	 +6.4197	 -1.3125	 -2.0859	 -1.5210
+29.8213	 +0.2771	 -4.5759	 -0.2239	 +2.3544	 +0.3107
 -0.3918	 -1.4191	 -6.0148	 -0.1704	 +0.8982	 -1.3077
 -0.5617	+11.4829	 -6.9153	 -2.6292	 -2.8237	 +1.6606
 +0.1680	 +0.3226	 +5.8847	 -0.9381	 +0.2459	 -3.4076
-15.8564	+18.5976	+35.8044	 -0.3946	 -1.3222	 +2.1904
+21.4307	+16.6489	+17.4829	 -0.0386	 +0.8814	 +1.5086
 -7.9824	-10.3261	 -9.3338	 +1.4360	 -1.9086	 -3.9794
 -1.8061	 +3.5626	-10.8771	 +4.8507	 +0.7371	 +1.0730
 -5.6307	+24.6992	 +7.7581	 -0.4225	 -0.4665	 -1.1012
 +8.8299	-25.7603	 -3.0189	 +1.5647	 +1.8245	 -1.8829
 -6.9121	+11.5495	 -4.8057	 +0.1475	 +2.3181	 +0.1239
 +3.5755	 +6.5744	 +6.7698	 +2.9341	 -1.6411	 -1.7622
 -1.6750	 +0.3642	 -4.8007	 -0.8010	 +0.2280	 +0.6674
-18.3683	-30.9894	-48.7345	 -0.5173	 -0.4282	 +0.2662
-19.6604	 -8.0711	+14.9500	 -1.4333	 -1.1077	 +1.0891
 -7.4444	-10.5939	 -0.2772	 -1.3625	 -1.1623	 +0.7104
 -0.9965	 +7.8919	-15.3538	 -2.9242	 +1.5307	 +0.3621
 -9.2191	+25.1350	 -0.7200	 +0.1941	 -2.4520	 +2.8151
 -9.8743	 -3.0652	+10.1764	 -0.3109	 +0.5458	 -3.8003
 +4.8048	 -9.6299	 -5.8781	 +3.9799	 -1.6578	 +0.2599
+10.6868	 +4.5637	-11.4488	 +2.3990	 +2.1538	 +4.2114
-17.7856	-13.3800	 +0.4561	 -1.9706	 +1.4874	 +0.7263
 +8.8284	 +1.4273	 +5.0253	 +2.3602	 +0.1893	 +2.9272
 +3.0877	 -1.1535	 +1.2477	 -0.8964	 -1.3800	 +3.4189
 +2.7240	+11.7789	 +2.2141	 -0.1180	 -0.7473	 +3.8317
 -1.2608	 +0.4293	 -2.2780	 +1.1353	 +1.2080	 -1.8561
+13.1993	 +8.9154	 -4.1025	 +0.1701	 -0.5146	 -2.9467
 +7.6144	-12.5152	 +7.2427	 +2.9872	 +2.4864	 -3.6192
 +7.3127	+10.3596	 -3.5461	 +3.0744	 +1.0851	 -0.2572
+28.6632	+20.8934	+12.4717	 -0.3845	 +1.0068	 -1.2128
 +3.3046	 -1.4700	 -7.2696	 -2.5033	 -0.4701	 +4.2594
 +9.0195	 +6.0519	 -3.0881	 -0.1065	 -3.1403	 +1.1128
+472.7039	+392.5303	-225.1740	 -0.2835	 +0.6698	 +0.3169
-139.6346	+107.0562	+202.8904	 -0.0890	 +1.1204	 +0.4090
+27.7989	 -9.2237	 +5.5899	 +1.1425	 -0.4623	 -1.3324
 -7.7295	 -6.0552	 +7.5880	 -1.4532	 -0.2175	 -4.7603
 -3.7807	 +1.5286	-11.5757	 -0.5436	 -4.6198	 -0.1274
 +0.1303	-11.7264	 -8.6691	 -3.1063	 +0.1821	 +0.7265
-62.2447	-14.2337	-15.3122	 +1.9347	 +0.3223	 -0.6544
 +4.6844	 -0.1253	 -1.8454	 -0.2462	 -0.9091	 +1.1254
+47.9347	-26.4126	-40.9225	 +0.0957	 -0.4872	 +0.6185
 +3.3198	 -5.3483	 -4.3814	 +3.2423	 -1.0718	 +5.1503
 +0.1830	 -4.7414	 -4.0099	 +2.6270	 -2.8008	 -0.7814
 +0.0579	 +7.4475	 -6.4750	 -2.9827	 -1.3596	 +1.3829
-12.8876	 +6.4574	 -1.5845	 +2.4208	 +2.3207	 -0.5925
 -2.4519	 +0.7203	 -5.8983	 -1.5929	 -0.6839	 -1.2302
 -4.1026	 +0.7959	-10.2320	 +1.7396	 -2.5901	 +0.3539
