# Iterations: 1 of 100
# Total Energy: -6.698e+05
#    Kinetic Energy: 6.692e+05
#    Potential Energy: -1.339e+06
# Current Time: 2018-05-08 11:14:29.231132
# Elapsed Time: 0:00:19.551637
# 
# Med. Times for Sections
#    Force Computation:		2.255143
#        [2.255143]
#    Gather Particles:		5.046900
#        [5.046900]
#    Overall:		9.271570
#        [9.271570]
#    Scatter Particles:		0.001555
#        [0.001555]
#    Time Integration:		0.000070
#        [0.000070]
#    Tree Broadcast:		0.935374
#        [0.935374]
#    Tree Construction:		1.032456
#        [1.032456]
# 
# x	y	z	vx	vy	vz
# 
 -6.7827	 -4.4649	 -2.5909	 +0.0549	 +0.1699	 -0.3983
 +2.2672	-20.5022	-12.5522	 +1.2118	 +1.6879	 +1.5642
 -0.6833	 -2.9324	 +6.2280	 -1.9378	 -3.2146	 +3.2394
-22.4214	+26.0199	 -1.6154	 -2.3801	 -0.6706	 +1.1740
 -5.8774	-17.1439	 -6.5126	 +2.0544	 -2.7506	 +1.0216
 -5.0924	 +0.3375	-15.9190	 +2.6429	 +0.6653	 -1.3351
+14.6949	-14.5856	 -7.9684	 -1.0434	 -1.1821	 -1.1184
+12.1269	 +7.5206	 -5.9577	 -0.9225	 +0.5373	 -0.4813
-27.8649	-36.2428	-11.1688	 +1.8667	 +1.6073	 -0.1283
-11.5680	+22.2402	 +1.5978	 -3.3468	 +0.0830	 +0.6335
-25.1348	+10.3454	+17.5930	 +2.0220	 +1.0448	 -0.1992
 -3.3829	 -4.9601	 +0.7903	 -2.3337	 +1.5689	 -1.0872
 +4.9009	 -2.9682	 -2.6845	 -1.6468	 +2.6054	 -5.3222
+26.4316	+11.5366	-26.4149	 -1.1546	 +1.0129	 -1.2437
 -3.4081	 -3.0545	 -0.9972	 +3.5024	 -2.5289	 -1.3663
+11.5552	 +4.0563	 -0.0398	 +2.6343	 -1.5967	 -1.9168
 -7.8034	 +0.1887	 -9.0788	 -1.7561	 -4.4565	 +2.0876
 -4.1670	 -0.6484	-17.4537	 -1.6286	 +0.6059	 -2.2700
 +9.5202	 -6.5734	 +7.7264	 +0.6031	 -1.5235	 -0.3005
+105.8790	-28.1326	+78.4021	 -1.3550	 -0.8411	 +0.2117
 -7.8897	 -5.7563	 -2.1551	 +1.8343	 +1.3944	 -3.3832
 -4.1198	 +2.4736	 -8.0715	 +0.2307	 -4.3021	 -0.2574
 +6.0627	 -0.4441	-10.6724	 -1.2605	 +2.7643	 +1.4659
 -2.2021	 -5.1678	 -0.6152	 -2.7562	 -0.1004	 +5.0680
 +6.4398	 +6.9121	 -8.4305	 +1.7629	 +1.1887	 -0.5568
-33.8167	+18.9054	 +0.9273	 -2.2568	 +2.4222	 -1.3005
 -2.3636	 +2.0484	 -2.0042	 -1.8849	 -5.1703	 -3.1937
+11.7311	 -7.2691	 +2.3851	 -3.5114	 -0.5336	 +2.3708
 +8.3447	+14.1220	 +7.8838	 +3.2443	 -1.8297	 -2.0163
-19.9546	-19.9652	 -5.0983	 +3.1257	 +1.9042	 +0.5189
 -7.4014	 -2.3084	 -1.4421	 +4.0866	 -3.4151	 -4.7282
-55.7825	 +7.1306	 -1.3891	 -0.9485	 +2.0156	 +1.8289
 +0.8960	 -5.4963	-14.0320	 -4.2892	 -0.7111	 +1.4517
 +0.0003	-15.9018	 +5.7881	 -0.8118	 +1.4834	 -1.1225
-10.1433	 -2.8136	+21.3674	 +0.1737	 -0.6696	 +1.3051
 +4.2620	 +1.5384	 -0.5270	 +0.3694	 +0.8757	 +0.4992
 +3.2093	 -1.2986	 -3.6074	 +0.1765	 -5.3865	 +1.5005
 -5.3722	 +1.3311	 +4.3147	 +3.9372	 -3.2428	 +2.7790
 -2.2834	+32.1611	-11.8406	 -0.7563	 -1.4366	 +0.5945
 +3.3991	 -3.1553	 +1.1986	 +1.3852	 +4.2394	 +2.8681
+12.0884	 -9.6904	 +9.7744	 +2.4021	 -3.8003	 +0.7645
 -4.6257	+11.2379	-12.6111	 -0.4424	 -0.7649	 +1.0680
 -4.5541	 -3.7442	 -9.9598	 -2.2808	 +3.7340	 -0.7801
 -3.6243	 +4.0107	 -0.9802	 -4.1817	 -0.1699	 -0.9981
 -6.9387	+22.4855	-21.3141	 +2.3360	 +0.1256	 +0.6307
 +2.8111	 +0.2094	 -5.4251	 -0.6301	 -1.3586	 +4.8689
 -3.3306	 -0.2628	-10.8932	 +2.4103	 +4.7150	 -1.6030
+34.8426	 -4.9031	 +2.4975	 +0.2051	 -1.2934	 -1.5751
 -3.8680	 +4.2167	 +0.5249	 +2.2373	 +2.7490	 -0.2419
 -6.8693	 -1.2846	 -4.4892	 +1.9590	 +4.5900	 -0.2572
-34.4151	-57.1607	-38.7494	 +1.1121	 +0.2371	 +1.5741
 -1.0545	 -4.0925	 +1.2860	 -2.0724	 -3.4386	 -3.6579
+16.5070	-10.4473	 +5.4864	 -0.0709	 +2.5310	 +4.0236
 +2.3525	+13.2714	 +4.2073	 +2.3209	 -3.6646	 +2.3808
 +5.0245	 -5.1611	+52.5139	 +0.4819	 +2.2114	 +1.9354
-27.0853	 -6.9750	 -4.2894	 -2.0782	 +0.2876	 -0.1913
+32.4033	 -5.3860	 +4.8667	 -1.1698	 +0.9424	 -1.0165
 -4.8159	 +6.5196	 +5.8468	 -1.6061	 -0.6974	 -2.6871
 -2.3549	 -6.7653	 -3.6391	 +3.6205	 +1.5032	 +3.9586
 +2.8721	-22.0718	 +8.4039	 -3.6365	 +0.9957	 +0.2064
-13.8418	 +0.8874	 +9.4480	 -4.4056	 +1.0210	 -1.2904
 -8.2131	 +2.8462	-20.3505	 -0.4595	 +4.0424	 -1.8446
 -2.9220	 -9.6766	 -2.2354	 +2.6345	 +1.5049	 -1.6729
 -5.8752	 -4.7295	 -8.9902	 +0.1734	 -3.3497	 +3.0912
 -2.1382	 -4.0661	 -6.6112	 -1.5931	 -1.0425	 +3.8551
 -6.7639	 -3.4932	 -9.9282	 -2.4772	 -3.1164	 -2.1538
 +5.0544	 -2.0072	+22.3900	 +0.6073	 +0.9929	 -0.0282
-13.7173	-11.9819	+27.3397	 -2.4703	 -2.0476	 +0.5702
 -3.4211	 -7.5656	-20.4499	 +0.5428	 -0.9582	 +0.7756
 -3.9651	+11.1818	 -5.4860	 -0.4098	 -1.6694	 +4.0426
 -1.4513	 -4.5009	 -1.6527	 -1.8347	 -2.1467	 -1.9263
-13.4192	-12.1211	 -6.2625	 +1.6717	 +0.2471	 +1.0584
-11.9390	 +6.4243	 -2.2094	 +0.4736	 +0.4813	 -1.9985
-16.3037	+15.2787	-93.5752	 +1.9165	 +0.0101	 -1.4585
+26.5528	-28.4999	-14.2560	 -0.1070	 +1.5216	 +0.5520
-10.3458	+10.9404	-11.2534	 -2.7141	 -3.5933	 +0.8193
 -5.1978	 +2.3538	 -8.2718	 +1.0128	 +2.1218	 -2.4061
 -1.4928	 -8.3918	+13.2881	 -2.9632	 -2.4543	 -0.8296
 -4.6174	+10.0494	 -4.3158	 +2.9868	 +0.3424	 +3.0642
+20.2594	-15.2895	 -5.6725	 +2.7820	 +1.4370	 -0.0826
 -0.8796	 +0.6556	 -2.5820	 -0.8005	 +1.3680	 +3.0284
 +9.4829	 +9.3143	 -8.0771	 +0.4699	 +2.7823	 -1.2661
 -2.6154	 -0.4848	 -5.6364	 +1.8358	 -0.4670	 +4.3156
-10.7074	+24.5854	+13.9720	 -1.0356	 +0.0115	 +3.6878
+12.4280	 +3.8929	 +0.2756	 +3.4601	 +2.7134	 +3.0404
 +3.9792	+13.3260	 +8.8179	 -2.7168	 -1.4791	 +0.9178
-16.3700	 -4.9204	 +2.4029	 -1.6312	 +0.5338	 -2.8632
 -0.8379	+15.7297	 +9.0955	 -0.8216	 +3.2201	 +1.0397
 -5.5968	-27.3478	 +9.9310	 +2.0071	 -1.3372	 -1.3443
 +5.5323	 -8.8163	 +2.3753	 -0.7575	 -1.4682	 -0.5546
-11.1234	 -0.6374	 -3.6664	 -1.5896	 +2.1344	 +3.2359
 -3.8081	 -0.6823	 +0.6379	 +1.5121	 +1.2272	 +1.1506
-13.5726	-25.9996	-47.8856	 -0.7573	 -0.9074	 -0.5197
 +6.3159	 +2.5772	 -8.8570	 -3.3830	 -0.1988	 +4.0021
 +5.0589	+13.2694	 +0.2311	 +0.8474	 -0.8366	 -1.1747
 +6.4610	 -8.4079	 +4.1156	 +2.3005	 +0.8356	 -3.8665
 -7.4593	+32.9326	-20.0653	 -0.5060	 +0.0776	 +2.1864
 +2.1985	 -2.4525	+16.9933	 -1.8407	 -0.4886	 +1.9285
 -9.7721	+14.9388	 +1.9026	 -0.7772	 -1.0775	 -1.2038
-13.6700	-12.0183	-22.1843	 +2.9950	 +1.5507	 -0.8500
 +6.8688	 -0.4505	 -2.9166	 -1.4851	 -5.9541	 -0.8959
-13.4750	 -1.6424	-10.7612	 +0.1567	 -0.2231	 -0.8549
 -3.0572	 +0.3463	 +4.7070	 -0.8448	 -1.7841	 -1.6377
 -3.5628	 -7.5525	 -8.7569	 +1.1453	 +2.8180	 -3.2892
 +0.0701	 +3.1581	 -4.8055	 -0.8706	 -1.3673	 -1.3594
 -8.7908	 -1.2130	 +3.1275	 +3.0336	 +3.2717	 +3.4478
-17.1603	-17.7140	+21.9635	 +3.0268	 -0.4962	 -0.6945
 -7.1475	-14.2271	 -0.5462	 -0.6614	 +0.8439	 -0.2306
+25.6205	 +9.7443	+18.1419	 +1.2516	 +1.9032	 -0.1828
 +1.0286	 +1.4383	 -7.2449	 +2.9418	 -0.0617	 -4.5880
 -5.6387	 +0.1162	 -2.5120	 +1.8094	 +6.1037	 -2.1688
+474.8088	+387.4890	-227.5410	 -0.2778	 +0.6745	 +0.3143
-138.8766	+98.5831	+199.6887	 -0.1134	 +1.1391	 +0.4451
 +7.3789	 -2.3704	 +9.7319	 +4.7442	 -1.4264	 +1.1570
 +6.9649	 +2.1388	+20.0664	 -1.6305	 -1.1155	 +0.7619
 +0.5986	 +9.0783	 +8.3998	 +0.0603	 +3.0872	 -1.8878
 +2.7367	 +5.5735	 +1.6929	 +4.3168	 -2.0116	 -2.3810
-74.2392	-16.0472	 -9.9795	 +1.2910	 +0.1697	 -0.7544
 -2.6658	 -0.2431	 +0.9839	 -3.6294	 +1.6361	 -1.5067
+45.3926	-21.7904	-44.0200	 +0.5829	 -0.7408	 +0.1977
-15.2360	 +8.5879	 -6.2488	 -0.1291	 -0.6842	 -2.3887
 +0.4509	 -1.9639	 -0.5174	 -1.8198	 +3.9954	 -1.4857
 +1.4548	 -2.2394	 +1.0665	 +5.0550	 +1.7828	 -1.3868
 +2.0398	 -8.1343	 -1.5518	 -4.7827	 -2.2276	 +0.5792
 -4.3399	 +1.4901	 -1.9749	 +1.1390	 -3.0743	 +1.9331
 +1.5574	 -5.5985	 +2.2001	 -1.4778	 +2.5615	 +1.5935
-17.0126	 +1.0776	 -2.1541	 +0.5862	 +0.1208	 -3.1416
 -7.5223	 -4.0626	 +2.5804	 -2.4186	 -0.4362	 +0.9605
 -6.8062	 -0.2789	 -8.5053	 -2.9821	 +1.8198	 +0.5996
+12.9480	-12.7585	 +0.9157	 -1.4248	 -0.5384	 -2.5131
+13.8909	+32.9216	-162.2063	 +0.0708	 -1.1569	 -1.3238
 +6.2534	 -3.1935	 +6.6547	 +3.4862	 +2.0782	 +0.0153
 +6.7463	 -5.5298	 -8.5532	 -1.0793	 +2.9570	 -1.6587
 -3.6080	 -7.5498	 +2.3789	 -4.5023	 -0.6226	 +0.5348
 -2.3590	 +2.9834	 -1.2901	 -0.3700	 -2.7046	 -1.4378
-17.3408	+25.2705	-36.0255	 -0.5756	 -1.0547	 +0.6070
 -5.5073	-11.2778	 -7.1490	 +4.8608	 +0.5066	 -1.6677
+19.9044	-14.2301	+14.9471	 -0.7513	 -2.8371	 +1.3288
 +1.9959	 -1.1924	 +5.5796	 +2.3083	 -3.8894	 -0.4403
+13.6987	 -9.3326	-12.9653	 -1.4388	 -0.1538	 +1.3351
 +0.2610	 -4.6046	+10.0928	 +1.3992	 +0.7049	 +2.1028
+11.4194	 -7.9309	 +4.8468	 -2.7108	 -1.5229	 +2.8150
 +0.0893	 -2.7063	 -2.6502	 +1.2519	 +1.3518	 +1.3302
-32.8628	 +3.7646	-37.1641	 +1.8992	 +2.2219	 -0.1779
+57.7918	 +6.7441	+20.8895	 +0.6504	 -1.9072	 -0.1734
 +1.5136	 +5.2281	 +0.0338	 +0.2645	 +1.4833	 -4.0923
-27.7469	-71.4675	+45.3285	 -1.2976	 +0.9388	 +0.9982
 +4.2786	 +7.6566	 -8.1753	 -0.6160	 +3.5977	 +0.2111
+19.5460	 +7.9709	 -2.2175	 +0.7911	 -0.9750	 -3.3366
 -6.2992	 -4.5575	 -1.0487	 +4.2263	 +2.4661	 -2.3400
 +1.2223	 -5.9736	+11.2337	 +1.4026	 +2.8197	 -0.6250
 -3.1262	 -5.9308	 +1.0668	 +6.1701	 +0.1890	 -1.5726
 +5.2756	 -3.7359	 -1.1822	 -4.7528	 +1.6977	 -0.6203
 -7.7988	+12.7019	 -6.4033	 +0.3330	 -0.2264	 -0.9252
 +5.9491	 -0.7124	 -7.4420	 +1.7387	 -3.8483	 -1.8773
 -8.8842	 -3.1875	-17.7850	 -1.3977	 +1.6677	 +0.7713
 +0.4396	 +8.2247	-13.3029	 +3.2856	 +0.0040	 -3.2230
 +9.2061	 +2.3253	+28.3475	 -2.7388	 +1.1756	 +1.0932
 -7.2265	 +3.8372	 -8.5693	 +1.2384	 -1.6686	 +3.5045
 -6.5967	 +3.3033	 -0.3597	 -0.1819	 +0.2265	 -1.0682
 +2.6866	 -0.2643	 -5.4498	 -3.2693	 +3.6510	 +1.8302
-20.4154	 +2.4520	+10.2502	 +3.4172	 -2.3550	 -1.1240
 +7.1997	 +1.2804	 -2.3668	 -2.6660	 +1.4850	 +0.0812
+14.9963	 +7.8026	 +4.8699	 -0.3601	 +1.7052	 +0.0364
 -8.6573	 -4.1466	 -6.9663	 +1.4223	 -1.3148	 +3.7369
 +3.9907	 -2.2544	 +3.8531	 -4.5168	 -1.4049	 +3.0430
 -4.1142	 -2.7545	 +2.9910	 +0.9670	 +0.7610	 -2.6291
-16.2328	 -1.1022	-17.1850	 -0.1027	 -2.8874	 +2.1913
 -0.6334	 -1.6162	 -4.5039	 -3.4552	 +0.5375	 -0.7602
 +1.9795	 -3.4003	-14.2606	 +2.9733	 -1.7066	 -0.2557
-15.8243	 +2.4827	-14.3074	 -0.2580	 -1.0765	 -2.5488
 +1.9230	 +1.1371	 -3.9068	 +1.1577	 -0.0664	 +1.7107
 -3.5953	 +1.6314	 -6.8737	 -0.8856	 -0.1927	 -5.8439
+29.7682	-13.1987	+25.4716	 -0.4827	 -0.4544	 -0.4006
 -5.2933	 -1.7195	 +3.9304	 -1.1485	 +2.2418	 -0.5375
+54.9321	+26.0347	-26.0939	 -1.8567	 +1.0012	 -0.1865
-13.5670	-13.8425	 +3.3354	 -3.3021	 +1.2769	 -2.1929
 -7.6546	-24.7541	-10.6864	 +1.5101	 +0.9445	 +1.3365
 -1.1264	 -5.9807	 -3.5353	 +1.7319	 -2.7201	 +1.4523
 -2.1634	 -2.8961	 +2.0927	 -0.3058	 -4.8537	 +0.6096
 -0.1731	 +3.6649	 -2.3378	 -4.0254	 +1.8614	 -2.2502
 +4.1627	 +2.1850	 -9.2477	 -1.2262	 +4.0295	 +0.5448
 +6.4293	 +4.2941	 +5.6716	 +0.9660	 -0.0555	 -0.3905
+15.1617	+18.6895	-21.0836	 -0.5047	 +1.4130	 -1.5725
 +7.9059	 -1.3264	 +4.6018	 +2.8152	 +2.8096	 -4.0824
 +2.2881	 -1.6274	 +2.1284	 +1.4561	 -2.2814	 -2.1349
 +1.2930	 +4.1162	-11.3166	 +0.2070	 +1.5592	 +1.0238
 +1.1575	 -2.0552	 -5.1127	 +1.1958	 +1.4889	 -1.9738
 -7.4629	 -7.8517	 +0.3873	 -4.3551	 -1.8572	 -2.0942
 -5.4270	 +4.1403	-11.1686	 +1.0919	 +1.4305	 -1.3876
 -3.6134	 -9.2281	 +4.5015	 -1.7210	 -4.8941	 +2.4656
 -0.1491	 -1.4182	 -8.4218	 +2.5345	 -0.3404	 -0.9683
