# Iterations: 21 of 100
# Total Energy: -6.701e+05
#    Kinetic Energy: 6.713e+05
#    Potential Energy: -1.341e+06
# Current Time: 2018-05-08 11:16:35.506104
# Elapsed Time: 0:02:25.826600
# 
# Med. Times for Sections
#    Force Computation:		1.621286
#        [1.6153961.6180531.6124691.6247621.6216231.6168031.6209491.6289471.6293541.632078]
#    Gather Particles:		3.150268
#        [3.5193923.5327863.5177093.5141653.4856852.8148502.1711122.0917352.2032612.319160]
#    Overall:		6.216473
#        [6.5846846.6361516.6183786.6307426.5513915.8815545.2640865.1812215.3136095.418294]
#    Scatter Particles:		0.001960
#        [0.0019370.0020650.0019820.0020770.0019390.0019220.0019100.0020210.0019370.002096]
#    Time Integration:		0.000062
#        [0.0000620.0000630.0000590.0000620.0000640.0000630.0000620.0000630.0000600.000062]
#    Tree Broadcast:		0.708874
#        [0.6830030.7179390.7090570.7168690.6989560.6818680.7052210.7087600.7089880.710970]
#    Tree Construction:		0.765010
#        [0.7648370.7651840.7770440.7727460.7430590.7659870.7647750.7496370.7699440.753866]
# 
# x	y	z	vx	vy	vz
# 
 -6.7324	 -4.4140	 -2.6607	 +0.4229	 +0.3301	 -0.3034
 +2.5073	-20.1538	-12.2335	 +1.1898	 +1.7916	 +1.6202
 -1.0478	 -3.5373	 +6.8364	 -1.7634	 -2.9319	 +2.8716
-22.8927	+25.8801	 -1.3799	 -2.3348	 -0.7243	 +1.1806
 -5.5155	-17.7025	 -6.3517	 +1.4548	 -2.5953	 +0.3147
 -4.5591	 +0.4704	-16.1629	 +2.6840	 +0.6621	 -1.1154
+14.4773	-14.8138	 -8.1872	 -1.1286	 -1.1035	 -1.0724
+11.9223	 +7.6164	 -6.0453	 -1.1128	 +0.4249	 -0.3999
-27.4893	-35.9180	-11.1936	 +1.8887	 +1.6384	 -0.1201
-12.2326	+22.2445	 +1.7220	 -3.3006	 -0.0337	 +0.6091
-24.7247	+10.5518	+17.5483	 +2.0755	 +1.0199	 -0.2452
 -3.8276	 -4.6169	 +0.5566	 -2.1207	 +1.8496	 -1.2437
 +4.5499	 -2.4209	 -3.7221	 -1.8778	 +2.8417	 -5.0656
